"","Country","Code","Year","SDG_main","Value"
"1","Albania","ALB",2000,"14_1",92.5124113073244
"2","Albania","ALB",2001,"14_1",92.5124113073244
"3","Albania","ALB",2002,"14_1",88.5113231927096
"4","Albania","ALB",2003,"14_1",99.55115272142
"5","Albania","ALB",2004,"14_1",78.2649105705801
"6","Albania","ALB",2005,"14_1",92.3537279260082
"7","Albania","ALB",2006,"14_1",94.9039965543037
"8","Albania","ALB",2007,"14_1",91.9116813637703
"9","Albania","ALB",2008,"14_1",83.3654478271711
"10","Albania","ALB",2009,"14_1",92.9884614512729
"11","Albania","ALB",2010,"14_1",76.111350395575
"12","Albania","ALB",2011,"14_1",84.1135266248045
"13","Albania","ALB",2012,"14_1",92.807109015483
"14","Albania","ALB",2013,"14_1",95.5047264978578
"15","Albania","ALB",2014,"14_1",97.0008840931245
"16","Albania","ALB",2015,"14_1",95.1080180445674
"17","Albania","ALB",2016,"14_1",98.2023439802326
"18","Albania","ALB",2017,"14_1",97.6111616422451
"19","Albania","ALB",2018,"14_1",65.1590465046991
"20","Albania","ALB",2019,"14_1",94.9039965543037
"21","Albania","ALB",2020,"14_1",94.9039965543037
"22","Albania","ALB",2000,"14_2",0
"23","Albania","ALB",2001,"14_2",0
"24","Albania","ALB",2002,"14_2",0
"25","Albania","ALB",2003,"14_2",0
"26","Albania","ALB",2004,"14_2",0
"27","Albania","ALB",2005,"14_2",0
"28","Albania","ALB",2006,"14_2",0
"29","Albania","ALB",2007,"14_2",0
"30","Albania","ALB",2008,"14_2",0
"31","Albania","ALB",2009,"14_2",0
"32","Albania","ALB",2010,"14_2",0
"33","Albania","ALB",2011,"14_2",0
"34","Albania","ALB",2012,"14_2",0
"35","Albania","ALB",2013,"14_2",0
"36","Albania","ALB",2014,"14_2",0
"37","Albania","ALB",2015,"14_2",0
"38","Albania","ALB",2016,"14_2",0
"39","Albania","ALB",2017,"14_2",0
"40","Albania","ALB",2018,"14_2",0
"41","Albania","ALB",2019,"14_2",0
"42","Albania","ALB",2020,"14_2",0
"43","Albania","ALB",2000,"14_5",9.23875
"44","Albania","ALB",2001,"14_5",9.23875
"45","Albania","ALB",2002,"14_5",9.23875
"46","Albania","ALB",2003,"14_5",9.23875
"47","Albania","ALB",2004,"14_5",21.51751
"48","Albania","ALB",2005,"14_5",33.34536
"49","Albania","ALB",2006,"14_5",33.34536
"50","Albania","ALB",2007,"14_5",38.68951
"51","Albania","ALB",2008,"14_5",38.68951
"52","Albania","ALB",2009,"14_5",38.68951
"53","Albania","ALB",2010,"14_5",63.3863
"54","Albania","ALB",2011,"14_5",63.3863
"55","Albania","ALB",2012,"14_5",63.3863
"56","Albania","ALB",2013,"14_5",70.65466
"57","Albania","ALB",2014,"14_5",70.65466
"58","Albania","ALB",2015,"14_5",70.65466
"59","Albania","ALB",2016,"14_5",70.69782
"60","Albania","ALB",2017,"14_5",70.69782
"61","Albania","ALB",2018,"14_5",70.69782
"62","Albania","ALB",2019,"14_5",70.69782
"63","Albania","ALB",2020,"14_5",70.69782
"64","Albania","ALB",2000,"14_6",50
"65","Albania","ALB",2001,"14_6",50
"66","Albania","ALB",2002,"14_6",50
"67","Albania","ALB",2003,"14_6",50
"68","Albania","ALB",2004,"14_6",50
"69","Albania","ALB",2005,"14_6",50
"70","Albania","ALB",2006,"14_6",50
"71","Albania","ALB",2007,"14_6",50
"72","Albania","ALB",2008,"14_6",50
"73","Albania","ALB",2009,"14_6",50
"74","Albania","ALB",2010,"14_6",50
"75","Albania","ALB",2011,"14_6",50
"76","Albania","ALB",2012,"14_6",50
"77","Albania","ALB",2013,"14_6",50
"78","Albania","ALB",2014,"14_6",50
"79","Albania","ALB",2015,"14_6",50
"80","Albania","ALB",2016,"14_6",50
"81","Albania","ALB",2017,"14_6",50
"82","Albania","ALB",2018,"14_6",50
"83","Albania","ALB",2019,"14_6",75
"84","Albania","ALB",2020,"14_6",100
"85","Albania","ALB",2000,"14_b",50
"86","Albania","ALB",2001,"14_b",50
"87","Albania","ALB",2002,"14_b",50
"88","Albania","ALB",2003,"14_b",50
