"","Country","Code","Year","SDG_sub","Value"
"1","Argentina","ARG",2000,"14_1_1",60.1257018664569
"2","Argentina","ARG",2001,"14_1_1",58.3688501447421
"3","Argentina","ARG",2002,"14_1_1",57.0880485669759
"4","Argentina","ARG",2003,"14_1_1",53.4609998511779
"5","Argentina","ARG",2004,"14_1_1",57.7907892556618
"6","Argentina","ARG",2005,"14_1_1",58.7315550163219
"7","Argentina","ARG",2006,"14_1_1",59.3379522234944
"8","Argentina","ARG",2007,"14_1_1",58.7258877527035
"9","Argentina","ARG",2008,"14_1_1",57.388413538753
"10","Argentina","ARG",2009,"14_1_1",58.2668393996103
"11","Argentina","ARG",2010,"14_1_1",57.2127283665815
"12","Argentina","ARG",2011,"14_1_1",56.736678222633
"13","Argentina","ARG",2012,"14_1_1",56.0509393248024
"14","Argentina","ARG",2013,"14_1_1",58.4481918354002
"15","Argentina","ARG",2014,"14_1_1",56.7310109590146
"16","Argentina","ARG",2015,"14_1_1",59.1679343149414
"17","Argentina","ARG",2016,"14_1_1",65.3763105338102
"18","Argentina","ARG",2017,"14_1_1",58.21584212164
"19","Argentina","ARG",2018,"14_1_1",58.6690314526666
"20","Argentina","ARG",2019,"14_1_1",57.7622692737171
"21","Argentina","ARG",2020,"14_1_1",57.7622692737171
"22","Argentina","ARG",2000,"14_2_1",0
"23","Argentina","ARG",2001,"14_2_1",0
"24","Argentina","ARG",2002,"14_2_1",0
"25","Argentina","ARG",2003,"14_2_1",0
"26","Argentina","ARG",2004,"14_2_1",0
"27","Argentina","ARG",2005,"14_2_1",0
"28","Argentina","ARG",2006,"14_2_1",0
"29","Argentina","ARG",2007,"14_2_1",0
"30","Argentina","ARG",2008,"14_2_1",0
"31","Argentina","ARG",2009,"14_2_1",0
"32","Argentina","ARG",2010,"14_2_1",0
"33","Argentina","ARG",2011,"14_2_1",0
"34","Argentina","ARG",2012,"14_2_1",0
"35","Argentina","ARG",2013,"14_2_1",0
"36","Argentina","ARG",2014,"14_2_1",0
"37","Argentina","ARG",2015,"14_2_1",0
"38","Argentina","ARG",2016,"14_2_1",0
"39","Argentina","ARG",2017,"14_2_1",0
"40","Argentina","ARG",2018,"14_2_1",0
"41","Argentina","ARG",2019,"14_2_1",0
"42","Argentina","ARG",2020,"14_2_1",0
"43","Argentina","ARG",2000,"14_5_1",28.20771
"44","Argentina","ARG",2001,"14_5_1",31.22474
"45","Argentina","ARG",2002,"14_5_1",31.23497
"46","Argentina","ARG",2003,"14_5_1",31.23497
"47","Argentina","ARG",2004,"14_5_1",33.89184
"48","Argentina","ARG",2005,"14_5_1",36.31643
"49","Argentina","ARG",2006,"14_5_1",36.31643
"50","Argentina","ARG",2007,"14_5_1",36.31643
"51","Argentina","ARG",2008,"14_5_1",36.31643
"52","Argentina","ARG",2009,"14_5_1",38.09875
"53","Argentina","ARG",2010,"14_5_1",38.09875
"54","Argentina","ARG",2011,"14_5_1",38.09875
"55","Argentina","ARG",2012,"14_5_1",38.37897
"56","Argentina","ARG",2013,"14_5_1",38.37897
"57","Argentina","ARG",2014,"14_5_1",38.37897
"58","Argentina","ARG",2015,"14_5_1",38.37897
"59","Argentina","ARG",2016,"14_5_1",40.52593
"60","Argentina","ARG",2017,"14_5_1",40.52593
"61","Argentina","ARG",2018,"14_5_1",40.52593
"62","Argentina","ARG",2019,"14_5_1",40.52593
"63","Argentina","ARG",2020,"14_5_1",40.52593
"64","Argentina","ARG",2000,"14_6_1",50
"65","Argentina","ARG",2001,"14_6_1",50
"66","Argentina","ARG",2002,"14_6_1",50
"67","Argentina","ARG",2003,"14_6_1",50
"68","Argentina","ARG",2004,"14_6_1",50
"69","Argentina","ARG",2005,"14_6_1",50
"70","Argentina","ARG",2006,"14_6_1",50
"71","Argentina","ARG",2007,"14_6_1",50
"72","Argentina","ARG",2008,"14_6_1",50
"73","Argentina","ARG",2009,"14_6_1",50
"74","Argentina","ARG",2010,"14_6_1",50
"75","Argentina","ARG",2011,"14_6_1",50
"76","Argentina","ARG",2012,"14_6_1",50
"77","Argentina","ARG",2013,"14_6_1",50
"78","Argentina","ARG",2014,"14_6_1",50
"79","Argentina","ARG",2015,"14_6_1",50
"80","Argentina","ARG",2016,"14_6_1",50
"81","Argentina","ARG",2017,"14_6_1",50
"82","Argentina","ARG",2018,"14_6_1",50
"83","Argentina","ARG",2019,"14_6_1",75
"84","Argentina","ARG",2020,"14_6_1",100
"85","Argentina","ARG",2000,"14_7_1",0.598745603119949
"86","Argentina","ARG",2001,"14_7_1",0.598745603119949
"87","Argentina","ARG",2002,"14_7_1",0.598745603119949
"88","Argentina","ARG",2003,"14_7_1",0.598745603119949
"89","Argentina","ARG",2004,"14_7_1",0.598745603119949
"90","Argentina","ARG",2005,"14_7_1",0.598745603119949
"91","Argentina","ARG",2006,"14_7_1",0.598745603119949
"92","Argentina","ARG",2007,"14_7_1",0.598745603119949
"93","Argentina","ARG",2008,"14_7_1",0.598745603119949
"94","Argentina","ARG",2009,"14_7_1",0.598745603119949
"95","Argentina","ARG",2010,"14_7_1",0.598745603119949
"96","Argentina","ARG",2011,"14_7_1",0.598745603119949
"97","Argentina","ARG",2012,"14_7_1",0.849071861232298
"98","Argentina","ARG",2013,"14_7_1",0.93624933532933
"99","Argentina","ARG",2014,"14_7_1",0.852648760992276
"100","Argentina","ARG",2015,"14_7_1",0.769048186655222
"101","Argentina","ARG",2016,"14_7_1",0.836949273845959
"102","Argentina","ARG",2017,"14_7_1",0.963000609583396
"103","Argentina","ARG",2018,"14_7_1",1.21663766833247
"104","Argentina","ARG",2019,"14_7_1",1.69952767153947
"105","Argentina","ARG",2020,"14_7_1",1.69952767153947
"106","Argentina","ARG",2020,"14_b_1",50
"107","Antigua and Barbuda","ATG",2000,"14_1_1",98.6330560152336
