"","Country","Code","Year","SDG","Value"
"1","Argentina","ARG",2000,"14",27.7864314939154
"2","Argentina","ARG",2001,"14",28.0384671495724
"3","Argentina","ARG",2002,"14",27.7843528340192
"4","Argentina","ARG",2003,"14",27.0589430908596
"5","Argentina","ARG",2004,"14",28.4562749717564
"6","Argentina","ARG",2005,"14",29.1293461238884
"7","Argentina","ARG",2006,"14",29.2506255653229
"8","Argentina","ARG",2007,"14",29.1282126711647
"9","Argentina","ARG",2008,"14",28.8607178283746
"10","Argentina","ARG",2009,"14",29.3928670005461
"11","Argentina","ARG",2010,"14",29.1820447939403
"12","Argentina","ARG",2011,"14",29.0868347651506
"13","Argentina","ARG",2012,"14",29.0557962372069
"14","Argentina","ARG",2013,"14",29.5526822341459
"15","Argentina","ARG",2014,"14",29.1925259440014
"16","Argentina","ARG",2015,"14",29.6631905003193
"17","Argentina","ARG",2016,"14",31.3478379615312
"18","Argentina","ARG",2017,"14",29.9409545462447
"19","Argentina","ARG",2018,"14",30.0823198241998
"20","Argentina","ARG",2019,"14",34.9975453890513
"21","Argentina","ARG",2020,"14",41.6646211575428
"22","Antigua and Barbuda","ATG",2000,"14",42.2712169267057
"23","Antigua and Barbuda","ATG",2001,"14",41.9708519549287
"24","Antigua and Barbuda","ATG",2002,"14",41.9368483732181
"25","Antigua and Barbuda","ATG",2003,"14",39.4772559628175
"26","Antigua and Barbuda","ATG",2004,"14",40.965857206593
"27","Antigua and Barbuda","ATG",2005,"14",45.6725376290308
"28","Antigua and Barbuda","ATG",2006,"14",45.6744267169036
"29","Antigua and Barbuda","ATG",2007,"14",42.4762009482338
"30","Antigua and Barbuda","ATG",2008,"14",45.6725376290308
"31","Antigua and Barbuda","ATG",2009,"14",43.2469488003409
"32","Antigua and Barbuda","ATG",2010,"14",43.8439005681493
"33","Antigua and Barbuda","ATG",2011,"14",44.7582190985901
"34","Antigua and Barbuda","ATG",2012,"14",45.6707863574623
"35","Antigua and Barbuda","ATG",2013,"14",45.3306477730541
"36","Antigua and Barbuda","ATG",2014,"14",45.3768534309087
"37","Antigua and Barbuda","ATG",2015,"14",45.2020358076443
"38","Antigua and Barbuda","ATG",2016,"14",45.3901919036712
"39","Antigua and Barbuda","ATG",2017,"14",45.3275813512691
"40","Antigua and Barbuda","ATG",2018,"14",45.5998213910095
"41","Antigua and Barbuda","ATG",2019,"14",45.2907044045788
"42","Antigua and Barbuda","ATG",2020,"14",45.2907044045788
"43","Belgium","BEL",2000,"14",45.4527612486618
"44","Belgium","BEL",2001,"14",42.1746540499417
"45","Belgium","BEL",2002,"14",44.9175843340173
"46","Belgium","BEL",2003,"14",44.3528578594763
"47","Belgium","BEL",2004,"14",45.718668391519
"48","Belgium","BEL",2005,"14",45.3266316085169
"49","Belgium","BEL",2006,"14",43.6806963319058
"50","Belgium","BEL",2007,"14",46.5608244305875
"51","Belgium","BEL",2008,"14",46.2402192316018
"52","Belgium","BEL",2009,"14",46.2645075042522
"53","Belgium","BEL",2010,"14",46.8571413569228
"54","Belgium","BEL",2011,"14",46.5608244305875
"55","Belgium","BEL",2012,"14",46.757143743019
"56","Belgium","BEL",2013,"14",44.8313983698397
"57","Belgium","BEL",2014,"14",46.6730426389053
"58","Belgium","BEL",2015,"14",44.5086776903326
"59","Belgium","BEL",2016,"14",47.5758624727029
"60","Belgium","BEL",2017,"14",47.8423868277188
"61","Belgium","BEL",2018,"14",49.7784331264283
"62","Belgium","BEL",2019,"14",49.1258324044841
"63","Belgium","BEL",2020,"14",50.0186895473413
"64","Benin","BEN",2000,"14",45.6106787607932
"65","Benin","BEN",2001,"14",45.5313370701351
"66","Benin","BEN",2002,"14",45.0496196625682
"67","Benin","BEN",2003,"14",45.3310937556171
"68","Benin","BEN",2004,"14",45.8279238661665
"69","Benin","BEN",2005,"14",45.4916662248061
"70","Benin","BEN",2006,"14",44.3846607313386
"71","Benin","BEN",2007,"14",45.582342442701
"72","Benin","BEN",2008,"14",44.7983709754843
"73","Benin","BEN",2009,"14",45.9393800506624
"74","Benin","BEN",2010,"14",43.8160452816223
"75","Benin","BEN",2011,"14",45.8090329874384
"76","Benin","BEN",2012,"14",45.4075217586908
"77","Benin","BEN",2013,"14",46.0373845913348
"78","Benin","BEN",2014,"14",45.8709172268711
"79","Benin","BEN",2015,"14",45.954842900595
"80","Benin","BEN",2016,"14",45.5406796886916
"81","Benin","BEN",2017,"14",45.8387026048381
"82","Benin","BEN",2018,"14",45.1220439466003
"83","Benin","BEN",2019,"14",47.5275568712912
"84","Benin","BEN",2020,"14",49.6108902046246
"85","Bangladesh","BGD",2000,"14",29.2420113355275
"86","Bangladesh","BGD",2001,"14",29.6621629405722
"87","Bangladesh","BGD",2002,"14",29.4836441365915
"88","Bangladesh","BGD",2003,"14",29.2994580689924
"89","Bangladesh","BGD",2004,"14",29.2182272904615
"90","Bangladesh","BGD",2005,"14",29.0500984697812
"91","Bangladesh","BGD",2006,"14",29.6848319950459
"92","Bangladesh","BGD",2007,"14",29.1152720013932
"93","Bangladesh","BGD",2008,"14",29.4723096093546
"94","Bangladesh","BGD",2009,"14",29.6886101707915
"95","Bangladesh","BGD",2010,"14",29.6102130240698
"96","Bangladesh","BGD",2011,"14",29.5259395425565
"97","Bangladesh","BGD",2012,"14",29.3932702427977
"98","Bangladesh","BGD",2013,"14",29.5922823084384
"99","Bangladesh","BGD",2014,"14",29.5453443068357
"100","Bangladesh","BGD",2015,"14",29.6306424563297
"101","Bangladesh","BGD",2016,"14",29.5939943847877
"102","Bangladesh","BGD",2017,"14",31.5471168276781
"103","Bangladesh","BGD",2018,"14",31.7684856763374
"104","Bangladesh","BGD",2019,"14",35.4831823067998
"105","Bangladesh","BGD",2020,"14",39.6498489734665
"106","Bulgaria","BGR",2000,"14",37.972683663319
"107","Bulgaria","BGR",2001,"14",37.02870705027
"108","Bulgaria","BGR",2002,"14",42.3969468764955
"109","Bulgaria","BGR",2003,"14",42.0471957503293
"110","Bulgaria","BGR",2004,"14",42.6473075133664
"111","Bulgaria","BGR",2005,"14",42.5683984669564
"112","Bulgaria","BGR",2006,"14",42.5198219216555
"113","Bulgaria","BGR",2007,"14",49.7399789786294
"114","Bulgaria","BGR",2008,"14",49.5740091155181
"115","Bulgaria","BGR",2009,"14",49.5294806156589
"116","Bulgaria","BGR",2010,"14",49.5561977155744
"117","Bulgaria","BGR",2011,"14",49.962621477925
"118","Bulgaria","BGR",2012,"14",49.8044999640827
"119","Bulgaria","BGR",2013,"14",49.5847865676438
"120","Bulgaria","BGR",2014,"14",49.8211222925882
"121","Bulgaria","BGR",2015,"14",49.7146710888529
"122","Bulgaria","BGR",2016,"14",49.9867067699774
"123","Bulgaria","BGR",2017,"14",48.4605607735872
"124","Bulgaria","BGR",2018,"14",48.4580334890496
"125","Bulgaria","BGR",2019,"14",49.4079958239175
"126","Bulgaria","BGR",2020,"14",64.6871915524742
"127","Bahamas","BHS",2000,"14",33.2527449437882
"128","Bahamas","BHS",2001,"14",33.1507341986563
"129","Bahamas","BHS",2002,"14",33.803417958183
"130","Bahamas","BHS",2003,"14",33.7648805655777
"131","Bahamas","BHS",2004,"14",33.7580798492355
"132","Bahamas","BHS",2005,"14",33.7864161673277
"133","Bahamas","BHS",2006,"14",33.803417958183
"134","Bahamas","BHS",2007,"14",33.7750816400908
"135","Bahamas","BHS",2008,"14",33.8022845054593
"136","Bahamas","BHS",2009,"14",33.7977694309461
"137","Bahamas","BHS",2010,"14",33.8170145054593
"138","Bahamas","BHS",2011,"14",33.8022796200514
"139","Bahamas","BHS",2012,"14",33.285412588134
"140","Bahamas","BHS",2013,"14",33.0832789535303
"141","Bahamas","BHS",2014,"14",33.0865796281459
"142","Bahamas","BHS",2015,"14",36.8477548648704
"143","Bahamas","BHS",2016,"14",36.8987602374363
"144","Bahamas","BHS",2017,"14",35.7682499581591
"145","Bahamas","BHS",2018,"14",42.2416377592914
"146","Bahamas","BHS",2019,"14",38.1355595804127
"147","Bahamas","BHS",2020,"14",40.6355595804127
"148","Belize","BLZ",2000,"14",45.1181597878168
"149","Belize","BLZ",2001,"14",45.2864711966985
"150","Belize","BLZ",2002,"14",45.4472062947799
"151","Belize","BLZ",2003,"14",45.424805150975
"152","Belize","BLZ",2004,"14",45.3756888662819
"153","Belize","BLZ",2005,"14",45.3361005997467
"154","Belize","BLZ",2006,"14",45.1150856519611
"155","Belize","BLZ",2007,"14",45.4695346281133
"156","Belize","BLZ",2008,"14",45.2929049120054
"157","Belize","BLZ",2009,"14",45.4416199766878
"158","Belize","BLZ",2010,"14",45.2814047878168
"159","Belize","BLZ",2011,"14",44.9775266402941
"160","Belize","BLZ",2012,"14",46.6255627247515
"161","Belize","BLZ",2013,"14",46.7585109473257
"162","Belize","BLZ",2014,"14",46.72437009368
"163","Belize","BLZ",2015,"14",46.5462767328277
"164","Belize","BLZ",2016,"14",62.8187205896631
"165","Belize","BLZ",2017,"14",62.6653196678749
"166","Belize","BLZ",2018,"14",62.4714875014978
"167","Belize","BLZ",2019,"14",61.5642500983989
"168","Belize","BLZ",2020,"14",60.5225834317323
"169","Canada","CAN",2000,"14",42.7624820263323
"170","Canada","CAN",2001,"14",42.7196202784186
"171","Canada","CAN",2002,"14",42.6791398240012
"172","Canada","CAN",2003,"14",42.6992079758904
"173","Canada","CAN",2004,"14",42.7202504134938
"174","Canada","CAN",2005,"14",43.0962627527135
"175","Canada","CAN",2006,"14",43.092633172253
"176","Canada","CAN",2007,"14",43.1532246500163
"177","Canada","CAN",2008,"14",43.4558295681648
"178","Canada","CAN",2009,"14",43.4855193695839
"179","Canada","CAN",2010,"14",44.1874428734748
"180","Canada","CAN",2011,"14",44.222875687676
"181","Canada","CAN",2012,"14",44.246375972653
"182","Canada","CAN",2013,"14",44.2711576249191
"183","Canada","CAN",2014,"14",44.0872377018728
"184","Canada","CAN",2015,"14",43.9387006706757
"185","Canada","CAN",2016,"14",41.2422548059617
"186","Canada","CAN",2017,"14",41.5390074654183
"187","Canada","CAN",2018,"14",41.5100473319874
"188","Canada","CAN",2019,"14",41.5740064499669
"189","Canada","CAN",2020,"14",41.5740064499669
"190","Chile","CHL",2000,"14",47.8843144090278
"191","Chile","CHL",2001,"14",47.8512553712536
"192","Chile","CHL",2002,"14",47.6547902324812
"193","Chile","CHL",2003,"14",47.4573805497724
"194","Chile","CHL",2004,"14",47.6207804683905
"195","Chile","CHL",2005,"14",47.6148055351886
"196","Chile","CHL",2006,"14",47.9737322310228
"197","Chile","CHL",2007,"14",48.330450206374
"198","Chile","CHL",2008,"14",48.2426076202883
"199","Chile","CHL",2009,"14",48.1892807720425
"200","Chile","CHL",2010,"14",48.3628072237309
"201","Chile","CHL",2011,"14",48.3628072237309
"202","Chile","CHL",2012,"14",48.4802733840123
"203","Chile","CHL",2013,"14",48.1238183332301
"204","Chile","CHL",2014,"14",47.8620335605625
"205","Chile","CHL",2015,"14",48.1112124559195
"206","Chile","CHL",2016,"14",48.6924495487003
"207","Chile","CHL",2017,"14",48.1556731761195
"208","Chile","CHL",2018,"14",47.4174776974533
"209","Chile","CHL",2019,"14",47.9851523880109
"210","Chile","CHL",2020,"14",47.9851523880109
"211","Colombia","COL",2000,"14",18.69736567859
"212","Colombia","COL",2001,"14",18.3278600906681
"213","Colombia","COL",2002,"14",18.9374338764455
"214","Colombia","COL",2003,"14",18.964636741814
"215","Colombia","COL",2004,"14",19.08024891963
"216","Colombia","COL",2005,"14",20.483303498235
"217","Colombia","COL",2006,"14",21.7484906040768
"218","Colombia","COL",2007,"14",21.9117077962877
"219","Colombia","COL",2008,"14",22.0080512778011
"220","Colombia","COL",2009,"14",21.9162416071824
"221","Colombia","COL",2010,"14",21.9423110198273
"222","Colombia","COL",2011,"14",21.7710565840373
"223","Colombia","COL",2012,"14",21.9512348167141
"224","Colombia","COL",2013,"14",21.8537087390684
"225","Colombia","COL",2014,"14",22.196178969867
"226","Colombia","COL",2015,"14",21.9600960779176
"227","Colombia","COL",2016,"14",22.0765075080511
"228","Colombia","COL",2017,"14",23.8812088658187
"229","Colombia","COL",2018,"14",25.5968447015433
"230","Colombia","COL",2019,"14",25.5846849276736
"231","Colombia","COL",2020,"14",53.989060662624
"232","Cabo Verde","CPV",2000,"14",46.0575127052428
"233","Cabo Verde","CPV",2001,"14",45.3925537740132
"234","Cabo Verde","CPV",2002,"14",46.0707363203525
"235","Cabo Verde","CPV",2003,"14",44.7011476125642
"236","Cabo Verde","CPV",2004,"14",45.9762819267119
"237","Cabo Verde","CPV",2005,"14",48.4196364779402
"238","Cabo Verde","CPV",2006,"14",48.3705201932471
"239","Cabo Verde","CPV",2007,"14",47.7754575133115
"240","Cabo Verde","CPV",2008,"14",48.2156149876766
"241","Cabo Verde","CPV",2009,"14",48.0437079912507
"242","Cabo Verde","CPV",2010,"14",48.5348708381817
"243","Cabo Verde","CPV",2011,"14",48.6142125288398
"244","Cabo Verde","CPV",2012,"14",48.1572225421273
"245","Cabo Verde","CPV",2013,"14",48.444301253363
"246","Cabo Verde","CPV",2014,"14",47.4062410237403
"247","Cabo Verde","CPV",2015,"14",47.62631331741
"248","Cabo Verde","CPV",2016,"14",48.3860943685421
"249","Cabo Verde","CPV",2017,"14",47.9878645536408
"250","Cabo Verde","CPV",2018,"14",43.6976306452673
"251","Cabo Verde","CPV",2019,"14",49.2374158511288
"252","Cabo Verde","CPV",2020,"14",50.2790825177955
"253","Cuba","CUB",2000,"14",55.1297417221804
"254","Cuba","CUB",2001,"14",61.7254959313251
"255","Cuba","CUB",2002,"14",64.1442903007853
"256","Cuba","CUB",2003,"14",64.2281658023382
"257","Cuba","CUB",2004,"14",64.2905057021409
"258","Cuba","CUB",2005,"14",64.3131747566147
"259","Cuba","CUB",2006,"14",64.2927726075883
"260","Cuba","CUB",2007,"14",64.3052405875489
"261","Cuba","CUB",2008,"14",64.3499433239304
"262","Cuba","CUB",2009,"14",64.2955375931935
"263","Cuba","CUB",2010,"14",66.4485738624565
"264","Cuba","CUB",2011,"14",66.5573853239304
"265","Cuba","CUB",2012,"14",67.7995664811403
"266","Cuba","CUB",2013,"14",67.9423815243249
"267","Cuba","CUB",2014,"14",68.039858458562
"268","Cuba","CUB",2015,"14",68.0715951348252
"269","Cuba","CUB",2016,"14",67.9344473552591
"270","Cuba","CUB",2017,"14",66.2552202334518
"271","Cuba","CUB",2018,"14",66.0455314795697
"272","Cuba","CUB",2019,"14",65.0902291877283
"273","Cuba","CUB",2020,"14",63.8402291877283
"274","Cyprus","CYP",2000,"14",41.4710580086682
"275","Cyprus","CYP",2001,"14",42.669957834381
"276","Cyprus","CYP",2002,"14",42.6869596252363
"277","Cyprus","CYP",2003,"14",43.2733574691069
"278","Cyprus","CYP",2004,"14",45.6325104872648
"279","Cyprus","CYP",2005,"14",45.6291338182264
"280","Cyprus","CYP",2006,"14",45.6221205039644
"281","Cyprus","CYP",2007,"14",45.7954174973299
"282","Cyprus","CYP",2008,"14",47.8088170130433
"283","Cyprus","CYP",2009,"14",47.8116506448526
"284","Cyprus","CYP",2010,"14",47.8116506448526
"285","Cyprus","CYP",2011,"14",47.7795361510148
"286","Cyprus","CYP",2012,"14",47.808993985441
"287","Cyprus","CYP",2013,"14",47.8101302319008
"288","Cyprus","CYP",2014,"14",49.2146171056639
"289","Cyprus","CYP",2015,"14",49.2153892868199
"290","Cyprus","CYP",2016,"14",49.5318135543307
"291","Cyprus","CYP",2017,"14",48.6437795504048
"292","Cyprus","CYP",2018,"14",48.6409530025659
