"","Country","Code","SDG","Year","Value","Value_norm_percent"
"118","Cyprus","CYP","14_1_1_1","2017",4879745,25.0744583040816
"119","Cyprus","CYP","14_1_1_1","2018",4901154,25.0405397300146
"120","Cyprus","CYP","14_1_1_1","2020",18794702,14.6264270926383
"121","Czechia","CZE","14_1_1_1","2017",137315,52.7392194171455
"122","Czechia","CZE","14_1_1_1","2018",10974,72.3164539290101
"123","Denmark","DNK","14_1_1_1","2015",128986,53.2240399702769
"124","Denmark","DNK","14_1_1_1","2016",196139,49.9767027923775
"125","Denmark","DNK","14_1_1_1","2017",63905,58.6655048717891
"126","Denmark","DNK","14_1_1_1","2018",208071,49.5191389796675
"127","Denmark","DNK","14_1_1_1","2019",249039,48.1265908662766
"128","Denmark","DNK","14_1_1_1","2020",197792,49.9116786655678
"129","Dominican Republic","DOM","14_1_1_1","2015",92395,55.8090110884229
"130","Dominican Republic","DOM","14_1_1_1","2016",3779883,27.0532953171903
"131","Dominican Republic","DOM","14_1_1_1","2017",5244173,24.5164121875964
"132","Dominican Republic","DOM","14_1_1_1","2018",4872620,25.0857795515491
"149","Ecuador","ECU","14_1_1_1","2016",891574,38.2449622685957
"150","Ecuador","ECU","14_1_1_1","2017",904248,38.1355976329049
"151","Ecuador","ECU","14_1_1_1","2018",740644,39.681970069191
"152","Egypt","EGY","14_1_1_1","2016",99219,55.2569148694761
"153","Egypt","EGY","14_1_1_1","2018",2485,83.8242102489034
"154","El Salvador","SLV","14_1_1_1","2018",13670,70.6144147502831
"155","Estonia","EST","14_1_1_1","2017",1058452,36.9156055624845
"156","Ethiopia","ETH","14_1_1_1","2018",2485,83.8242102489034
"168","Fiji","FJI","14_1_1_1","2017",134314,52.9104285062455
"169","Fiji","FJI","14_1_1_1","2018",815795,38.9331805076422
"170","Finland","FIN","14_1_1_1","2017",21726,67.024722149327
"171","Finland","FIN","14_1_1_1","2018",165213,51.3061659461501
"172","France","FRA","14_1_1_1","2015",6693829,22.6253708419155
"173","France","FRA","14_1_1_1","2016",4550833,25.6151340391204
"174","France","FRA","14_1_1_1","2017",190684,50.1952425930131
"175","France","FRA","14_1_1_1","2018",1066566,36.8564366229382
"176","France","FRA","14_1_1_1","2019",1329666,35.1481306410563
"177","France","FRA","14_1_1_1","2020",604617,41.254230857244
"178","French Polynesia","PYF","14_1_1_1","2015",1117647,36.4939742891412
"179","Georgia","GEO","14_1_1_1","2019",986890,37.45799737518
"180","Georgia","GEO","14_1_1_1","2020",10828452,18.8986549005824
"181","Germany","DEU","14_1_1_1","2015",101061,55.1143923229088
"182","Germany","DEU","14_1_1_1","2016",2106574,31.5830061625541
"183","Germany","DEU","14_1_1_1","2017",43348,61.6727884181849
"184","Germany","DEU","14_1_1_1","2018",386139,44.7284143623966
"185","Germany","DEU","14_1_1_1","2019",16956,68.9453565310372
"186","Ghana","GHA","14_1_1_1","2016",33579283,10.1300004510791
