"","Entity","Code","SDG","Year","value","value_norm"
"116","Sweden","SWE","14_6_1","2018",1,1
"117","Tajikistan","TJK","14_6_1","2018",0.25,0.25
"118","Tanzania","TZA","14_6_1","2018",1,1
"119","Thailand","THA","14_6_1","2018",1,1
"120","Tokelau","TKL","14_6_1","2018",NA,NA
"121","Tonga","TON","14_6_1","2018",0.5,0.5
"122","Trinidad and Tobago","TTO","14_6_1","2018",0,0
"123","Turkey","TUR","14_6_1","2018",0.75,0.75
"124","Ukraine","UKR","14_6_1","2018",NA,NA
"125","United Arab Emirates","ARE","14_6_1","2018",NA,NA
"126","United Kingdom","GBR","14_6_1","2018",1,1
"127","Uruguay","URY","14_6_1","2018",1,1
"128","Vanuatu","VUT","14_6_1","2018",0.75,0.75
"129","Vatican","VAT","14_6_1","2018",NA,NA
"130","Venezuela","VEN","14_6_1","2018",0.25,0.25
"131","Vietnam","VNM","14_6_1","2018",0.75,0.75
"132","Yemen","YEM","14_6_1","2018",NA,NA
"133","Zambia","ZMB","14_6_1","2018",NA,NA
"134","Albania","ALB","14_6_1","2020",1,1
"135","Angola","AGO","14_6_1","2020",1,1
"136","Antigua and Barbuda","ATG","14_6_1","2020",0.5,0.5
"137","Argentina","ARG","14_6_1","2020",1,1
"138","Australia","AUS","14_6_1","2020",1,1
"139","Austria","AUT","14_6_1","2020",1,1
"140","Bahamas","BHS","14_6_1","2020",1,1
"141","Bangladesh","BGD","14_6_1","2020",0.5,0.5
"142","Belarus","BLR","14_6_1","2020",1,1
"143","Belgium","BEL","14_6_1","2020",1,1
"144","Belize","BLZ","14_6_1","2020",0.625,0.625
"145","Benin","BEN","14_6_1","2020",1,1
"146","Bosnia and Herzegovina","BIH","14_6_1","2020",0,0
"147","Brazil","BRA","14_6_1","2020",0.5,0.5
"148","Bulgaria","BGR","14_6_1","2020",1,1
"149","Burkina Faso","BFA","14_6_1","2020",1,1
"150","Cameroon","CMR","14_6_1","2020",1,1
"151","Canada","CAN","14_6_1","2020",1,1
"152","Cape Verde","CPV","14_6_1","2020",0.875,0.875
"153","Chile","CHL","14_6_1","2020",1,1
"154","China","CHN","14_6_1","2020",0.625,0.625
"155","Colombia","COL","14_6_1","2020",0.5,0.5
"156","Congo","COG","14_6_1","2020",0,0
"157","Cook Islands","COK","14_6_1","2020",0.75,0.75
"158","Costa Rica","CRI","14_6_1","2020",0.875,0.875
"159","Cote d'Ivoire","CIV","14_6_1","2020",0.75,0.75
"160","Croatia","HRV","14_6_1","2020",1,1
"161","Cuba","CUB","14_6_1","2020",0.875,0.875
"162","Cyprus","CYP","14_6_1","2020",1,1
"163","Czechia","CZE","14_6_1","2020",1,1
"164","Denmark","DNK","14_6_1","2020",1,1
"165","Dominican Republic","DOM","14_6_1","2020",0.75,0.75
"166","Ecuador","ECU","14_6_1","2020",1,1
"167","El Salvador","SLV","14_6_1","2020",0.5,0.5
"168","Equatorial Guinea","GNQ","14_6_1","2020",0.75,0.75
"169","Eritrea","ERI","14_6_1","2020",0.25,0.25
"170","Estonia","EST","14_6_1","2020",1,1
"171","Faeroe Islands","FRO","14_6_1","2020",1,1
"172","Fiji","FJI","14_6_1","2020",1,1
"173","Finland","FIN","14_6_1","2020",1,1
"174","France","FRA","14_6_1","2020",1,1
"175","Gambia","GMB","14_6_1","2020",1,1
"176","Georgia","GEO","14_6_1","2020",1,1
"177","Germany","DEU","14_6_1","2020",1,1
"178","Ghana","GHA","14_6_1","2020",1,1
"179","Greece","GRC","14_6_1","2020",1,1
"180","Guatemala","GTM","14_6_1","2020",0.5,0.5
"181","Guinea","GIN","14_6_1","2020",1,1
"182","Guyana","GUY","14_6_1","2020",0.25,0.25
"183","Honduras","HND","14_6_1","2020",0.75,0.75
"184","Hungary","HUN","14_6_1","2020",1,1
"185","Iceland","ISL","14_6_1","2020",0.75,0.75
"186","India","IND","14_6_1","2020",0.75,0.75
"187","Indonesia","IDN","14_6_1","2020",1,1
"188","Iran","IRN","14_6_1","2020",1,1
"189","Ireland","IRL","14_6_1","2020",1,1
"190","Italy","ITA","14_6_1","2020",1,1
"191","Jamaica","JAM","14_6_1","2020",1,1
"192","Japan","JPN","14_6_1","2020",1,1
"193","Kenya","KEN","14_6_1","2020",1,1
"194","Kiribati","KIR","14_6_1","2020",1,1
"195","Kuwait","KWT","14_6_1","2020",0,0
"196","Kyrgyzstan","KGZ","14_6_1","2020",1,1
"197","Latvia","LVA","14_6_1","2020",1,1
"198","Lebanon","LBN","14_6_1","2020",1,1
"199","Libya","LBY","14_6_1","2020",1,1
"200","Lithuania","LTU","14_6_1","2020",1,1
"201","Luxembourg","LUX","14_6_1","2020",1,1
"202","Madagascar","MDG","14_6_1","2020",1,1
"203","Malawi","MWI","14_6_1","2020",1,1
"204","Malaysia","MYS","14_6_1","2020",0.5,0.5
"205","Maldives","MDV","14_6_1","2020",1,1
"206","Mali","MLI","14_6_1","2020",1,1
"207","Malta","MLT","14_6_1","2020",1,1
"208","Marshall Islands","MHL","14_6_1","2020",0.75,0.75
"209","Mauritania","MRT","14_6_1","2020",1,1
"210","Mauritius","MUS","14_6_1","2020",1,1
"211","Mexico","MEX","14_6_1","2020",0.75,0.75
"212","Micronesia (country)","FSM","14_6_1","2020",0.5,0.5
"213","Montenegro","MNE","14_6_1","2020",0.75,0.75
"214","Morocco","MAR","14_6_1","2020",1,1
"215","Myanmar","MMR","14_6_1","2020",1,1
"216","Namibia","NAM","14_6_1","2020",1,1
"217","Nauru","NRU","14_6_1","2020",0.75,0.75
"218","Netherlands","NLD","14_6_1","2020",1,1
"219","New Zealand","NZL","14_6_1","2020",1,1
"220","Nicaragua","NIC","14_6_1","2020",0.75,0.75
"221","Norway","NOR","14_6_1","2020",0.75,0.75
"222","Oman","OMN","14_6_1","2020",1,1
"223","Pakistan","PAK","14_6_1","2020",1,1
"224","Palau","PLW","14_6_1","2020",0.375,0.375
"225","Panama","PAN","14_6_1","2020",1,1
"226","Peru","PER","14_6_1","2020",0.75,0.75
"227","Philippines","PHL","14_6_1","2020",0.875,0.875
"228","Poland","POL","14_6_1","2020",1,1
"229","Portugal","PRT","14_6_1","2020",1,1
"230","Romania","ROU","14_6_1","2020",1,1
"231","Russia","RUS","14_6_1","2020",1,1
"232","Saint Kitts and Nevis","KNA","14_6_1","2020",0.75,0.75
"233","Saint Martin (French part)","MAF","14_6_1","2020",1,1
"234","Saint Vincent and the Grenadines","VCT","14_6_1","2020",1,1
"235","Samoa","WSM","14_6_1","2020",0.5,0.5
"236","Sao Tome and Principe","STP","14_6_1","2020",1,1
"237","Senegal","SEN","14_6_1","2020",1,1
"238","Seychelles","SYC","14_6_1","2020",0.75,0.75
"239","Singapore","SGP","14_6_1","2020",0.25,0.25
"240","Slovakia","SVK","14_6_1","2020",1,1
"241","Slovenia","SVN","14_6_1","2020",1,1
"242","Solomon Islands","SLB","14_6_1","2020",0.625,0.625
"243","Somalia","SOM","14_6_1","2020",1,1
"244","South Korea","KOR","14_6_1","2020",1,1
"245","Spain","ESP","14_6_1","2020",1,1
"246","Sri Lanka","LKA","14_6_1","2020",1,1
"247","Sudan","SDN","14_6_1","2020",1,1
"248","Suriname","SUR","14_6_1","2020",0.25,0.25
"249","Sweden","SWE","14_6_1","2020",1,1
"250","Tajikistan","TJK","14_6_1","2020",1,1
"251","Tanzania","TZA","14_6_1","2020",0.5,0.5
"252","Thailand","THA","14_6_1","2020",1,1
"253","Tokelau","TKL","14_6_1","2020",1,1
"254","Tonga","TON","14_6_1","2020",1,1
"255","Trinidad and Tobago","TTO","14_6_1","2020",0.25,0.25
"256","Turkey","TUR","14_6_1","2020",0.75,0.75
"257","Ukraine","UKR","14_6_1","2020",0.375,0.375
"258","United Arab Emirates","ARE","14_6_1","2020",0.75,0.75
"259","United Kingdom","GBR","14_6_1","2020",0.75,0.75
"260","Uruguay","URY","14_6_1","2020",1,1
"261","Vanuatu","VUT","14_6_1","2020",1,1
"262","Vatican","VAT","14_6_1","2020",0.75,0.75
"263","Venezuela","VEN","14_6_1","2020",0.75,0.75
"264","Vietnam","VNM","14_6_1","2020",1,1
"265","Yemen","YEM","14_6_1","2020",0.25,0.25
"266","Zambia","ZMB","14_6_1","2020",0.25,0.25
