"","Entity","Code","SDG","Year","value","value_norm"
"114","Saint Kitts and Nevis","KNA","14_b_1","2018",0.75,0.75
"115","Saint Vincent and the Grenadines","VCT","14_b_1","2018",1,1
"116","Samoa","WSM","14_b_1","2018",0.75,0.75
"117","Sao Tome and Principe","STP","14_b_1","2018",1,1
"118","Saudi Arabia","SAU","14_b_1","2018",NA,NA
"119","Senegal","SEN","14_b_1","2018",1,1
"120","Serbia","SRB","14_b_1","2018",NA,NA
"121","Seychelles","SYC","14_b_1","2018",0.75,0.75
"122","Sierra Leone","SLE","14_b_1","2018",1,1
"123","Slovakia","SVK","14_b_1","2018",0.75,0.75
"124","Slovenia","SVN","14_b_1","2018",0.75,0.75
"125","Solomon Islands","SLB","14_b_1","2018",0.75,0.75
"126","Somalia","SOM","14_b_1","2018",1,1
"127","South Korea","KOR","14_b_1","2018",0.25,0.25
"128","Spain","ESP","14_b_1","2018",0.75,0.75
"129","Sri Lanka","LKA","14_b_1","2018",0.75,0.75
"130","Sudan","SDN","14_b_1","2018",0.75,0.75
"131","Suriname","SUR","14_b_1","2018",0.75,0.75
"132","Sweden","SWE","14_b_1","2018",0.75,0.75
"133","Tajikistan","TJK","14_b_1","2018",0.75,0.75
"134","Tanzania","TZA","14_b_1","2018",1,1
"135","Thailand","THA","14_b_1","2018",1,1
"136","Tonga","TON","14_b_1","2018",0.25,0.25
"137","Trinidad and Tobago","TTO","14_b_1","2018",0.75,0.75
"138","Turkey","TUR","14_b_1","2018",1,1
"139","Uganda","UGA","14_b_1","2018",NA,NA
"140","Ukraine","UKR","14_b_1","2018",NA,NA
"141","United Arab Emirates","ARE","14_b_1","2018",NA,NA
"142","United Kingdom","GBR","14_b_1","2018",0.75,0.75
"143","Uruguay","URY","14_b_1","2018",1,1
"144","Uzbekistan","UZB","14_b_1","2018",NA,NA
"145","Vanuatu","VUT","14_b_1","2018",0.5,0.5
"146","Venezuela","VEN","14_b_1","2018",0.75,0.75
"147","Vietnam","VNM","14_b_1","2018",0.75,0.75
"148","Yemen","YEM","14_b_1","2018",NA,NA
"149","Zambia","ZMB","14_b_1","2018",NA,NA
"150","Zimbabwe","ZWE","14_b_1","2018",0.75,0.75
"151","Afghanistan","AFG","14_b_1","2020",NA,NA
"152","Albania","ALB","14_b_1","2020",1,1
"153","Angola","AGO","14_b_1","2020",NA,NA
"154","Antigua and Barbuda","ATG","14_b_1","2020",1,1
"155","Argentina","ARG","14_b_1","2020",0.5,0.5
"156","Armenia","ARM","14_b_1","2020",0.5,0.5
"157","Austria","AUT","14_b_1","2020",0.875,0.875
"158","Azerbaijan","AZE","14_b_1","2020",0.25,0.25
"159","Bahamas","BHS","14_b_1","2020",NA,NA
"160","Bangladesh","BGD","14_b_1","2020",1,1
"161","Belarus","BLR","14_b_1","2020",NA,NA
"162","Belgium","BEL","14_b_1","2020",0.875,0.875
"163","Belize","BLZ","14_b_1","2020",1,1
"164","Benin","BEN","14_b_1","2020",1,1
"165","Bhutan","BTN","14_b_1","2020",NA,NA
"166","Bolivia","BOL","14_b_1","2020",1,1
"167","Botswana","BWA","14_b_1","2020",NA,NA
"168","Brazil","BRA","14_b_1","2020",1,1
"169","Bulgaria","BGR","14_b_1","2020",0.875,0.875
"170","Burkina Faso","BFA","14_b_1","2020",1,1
"171","Burundi","BDI","14_b_1","2020",0.75,0.75
"172","Cambodia","KHM","14_b_1","2020",1,1
"173","Cameroon","CMR","14_b_1","2020",NA,NA
"174","Canada","CAN","14_b_1","2020",0.75,0.75
"175","Cape Verde","CPV","14_b_1","2020",1,1
"176","Chad","TCD","14_b_1","2020",1,1
"177","Chile","CHL","14_b_1","2020",1,1
"178","China","CHN","14_b_1","2020",0.25,0.25
"179","Colombia","COL","14_b_1","2020",1,1
"180","Congo","COG","14_b_1","2020",0.75,0.75
"181","Cook Islands","COK","14_b_1","2020",0.75,0.75
"182","Costa Rica","CRI","14_b_1","2020",1,1
"183","Cote d'Ivoire","CIV","14_b_1","2020",1,1
"184","Croatia","HRV","14_b_1","2020",0.875,0.875
"185","Cuba","CUB","14_b_1","2020",1,1
"186","Cyprus","CYP","14_b_1","2020",0.875,0.875
"187","Czechia","CZE","14_b_1","2020",0.875,0.875
"188","Denmark","DNK","14_b_1","2020",0.875,0.875
"189","Dominica","DMA","14_b_1","2020",0.25,0.25
"190","Dominican Republic","DOM","14_b_1","2020",0.75,0.75
"191","Ecuador","ECU","14_b_1","2020",1,1
"192","El Salvador","SLV","14_b_1","2020",1,1
"193","Equatorial Guinea","GNQ","14_b_1","2020",0.5,0.5
"194","Eritrea","ERI","14_b_1","2020",0.5,0.5
"195","Estonia","EST","14_b_1","2020",0.875,0.875
"196","Eswatini","SWZ","14_b_1","2020",1,1
"197","Ethiopia","ETH","14_b_1","2020",NA,NA
"198","Faeroe Islands","FRO","14_b_1","2020",0.75,0.75
"199","Fiji","FJI","14_b_1","2020",NA,NA
"200","Finland","FIN","14_b_1","2020",1,1
"201","France","FRA","14_b_1","2020",0.875,0.875
"202","Gambia","GMB","14_b_1","2020",1,1
"203","Georgia","GEO","14_b_1","2020",NA,NA
"204","Germany","DEU","14_b_1","2020",0.875,0.875
"205","Ghana","GHA","14_b_1","2020",1,1
"206","Greece","GRC","14_b_1","2020",0.875,0.875
"207","Grenada","GRD","14_b_1","2020",NA,NA
"208","Guatemala","GTM","14_b_1","2020",0.75,0.75
"209","Guinea","GIN","14_b_1","2020",NA,NA
"210","Guyana","GUY","14_b_1","2020",0.375,0.375
"211","Honduras","HND","14_b_1","2020",0.75,0.75
"212","Hungary","HUN","14_b_1","2020",0.875,0.875
"213","Iceland","ISL","14_b_1","2020",0.75,0.75
"214","India","IND","14_b_1","2020",0.75,0.75
"215","Indonesia","IDN","14_b_1","2020",1,1
"216","Iran","IRN","14_b_1","2020",1,1
"217","Ireland","IRL","14_b_1","2020",0.875,0.875
"218","Italy","ITA","14_b_1","2020",1,1
"219","Jamaica","JAM","14_b_1","2020",NA,NA
"220","Japan","JPN","14_b_1","2020",1,1
"221","Kazakhstan","KAZ","14_b_1","2020",NA,NA
"222","Kenya","KEN","14_b_1","2020",1,1
"223","Kiribati","KIR","14_b_1","2020",NA,NA
"224","Kyrgyzstan","KGZ","14_b_1","2020",1,1
"225","Laos","LAO","14_b_1","2020",NA,NA
"226","Latvia","LVA","14_b_1","2020",0.875,0.875
"227","Lebanon","LBN","14_b_1","2020",NA,NA
"228","Libya","LBY","14_b_1","2020",1,1
"229","Lithuania","LTU","14_b_1","2020",0.875,0.875
"230","Luxembourg","LUX","14_b_1","2020",1,1
"231","Madagascar","MDG","14_b_1","2020",NA,NA
"232","Malawi","MWI","14_b_1","2020",1,1
"233","Malaysia","MYS","14_b_1","2020",0.5,0.5
"234","Maldives","MDV","14_b_1","2020",1,1
"235","Mali","MLI","14_b_1","2020",NA,NA
"236","Malta","MLT","14_b_1","2020",0.875,0.875
"237","Marshall Islands","MHL","14_b_1","2020",1,1
"238","Mauritania","MRT","14_b_1","2020",1,1
"239","Mauritius","MUS","14_b_1","2020",0.75,0.75
"240","Mexico","MEX","14_b_1","2020",1,1
"241","Micronesia (country)","FSM","14_b_1","2020",0.625,0.625
"242","Mongolia","MNG","14_b_1","2020",1,1
"243","Montenegro","MNE","14_b_1","2020",0.75,0.75
"244","Morocco","MAR","14_b_1","2020",1,1
"245","Myanmar","MMR","14_b_1","2020",NA,NA
"246","Namibia","NAM","14_b_1","2020",0.125,0.125
"247","Nauru","NRU","14_b_1","2020",0.75,0.75
"248","Nepal","NPL","14_b_1","2020",0,0
"249","Netherlands","NLD","14_b_1","2020",0.875,0.875
"250","New Zealand","NZL","14_b_1","2020",1,1
"251","Nicaragua","NIC","14_b_1","2020",0.75,0.75
"252","Niger","NER","14_b_1","2020",1,1
"253","North Macedonia","MKD","14_b_1","2020",NA,NA
"254","Oman","OMN","14_b_1","2020",1,1
"255","Pakistan","PAK","14_b_1","2020",NA,NA
"256","Palau","PLW","14_b_1","2020",0.375,0.375
"257","Panama","PAN","14_b_1","2020",1,1
"258","Peru","PER","14_b_1","2020",1,1
"259","Philippines","PHL","14_b_1","2020",0.875,0.875
"260","Poland","POL","14_b_1","2020",0.875,0.875
"261","Portugal","PRT","14_b_1","2020",0.875,0.875
"262","Romania","ROU","14_b_1","2020",0.875,0.875
"263","Russia","RUS","14_b_1","2020",0.75,0.75
"264","Saint Kitts and Nevis","KNA","14_b_1","2020",0.75,0.75
"265","Saint Vincent and the Grenadines","VCT","14_b_1","2020",0.75,0.75
"266","Samoa","WSM","14_b_1","2020",1,1
"267","Sao Tome and Principe","STP","14_b_1","2020",NA,NA
"268","Saudi Arabia","SAU","14_b_1","2020",1,1
"269","Senegal","SEN","14_b_1","2020",NA,NA
"270","Serbia","SRB","14_b_1","2020",1,1
"271","Seychelles","SYC","14_b_1","2020",0.75,0.75
"272","Sierra Leone","SLE","14_b_1","2020",1,1
"273","Slovakia","SVK","14_b_1","2020",0.875,0.875
"274","Slovenia","SVN","14_b_1","2020",0.875,0.875
"275","Solomon Islands","SLB","14_b_1","2020",0.875,0.875
"276","Somalia","SOM","14_b_1","2020",1,1
"277","South Korea","KOR","14_b_1","2020",NA,NA
"278","Spain","ESP","14_b_1","2020",0.875,0.875
"279","Sri Lanka","LKA","14_b_1","2020",NA,NA
"280","Sudan","SDN","14_b_1","2020",1,1
"281","Suriname","SUR","14_b_1","2020",0.875,0.875
"282","Sweden","SWE","14_b_1","2020",0.875,0.875
"283","Tajikistan","TJK","14_b_1","2020",0.25,0.25
"284","Tanzania","TZA","14_b_1","2020",1,1
"285","Thailand","THA","14_b_1","2020",1,1
"286","Tonga","TON","14_b_1","2020",1,1
"287","Trinidad and Tobago","TTO","14_b_1","2020",0.75,0.75
"288","Turkey","TUR","14_b_1","2020",1,1
"289","Uganda","UGA","14_b_1","2020",NA,NA
"290","Ukraine","UKR","14_b_1","2020",1,1
"291","United Arab Emirates","ARE","14_b_1","2020",0.75,0.75
"292","United Kingdom","GBR","14_b_1","2020",0.75,0.75
"293","Uruguay","URY","14_b_1","2020",NA,NA
"294","Uzbekistan","UZB","14_b_1","2020",1,1
"295","Vanuatu","VUT","14_b_1","2020",NA,NA
"296","Venezuela","VEN","14_b_1","2020",1,1
"297","Vietnam","VNM","14_b_1","2020",NA,NA
"298","Yemen","YEM","14_b_1","2020",1,1
"299","Zambia","ZMB","14_b_1","2020",1,1
"300","Zimbabwe","ZWE","14_b_1","2020",1,1
