"","Country","Code","SDG","Year","Value"
"115","Curacao","CUW","14_1_1_1","2018",23.8534198459506
"116","Cyprus","CYP","14_1_1_1","2015",32.3977953787147
"117","Cyprus","CYP","14_1_1_1","2016",26.22314174032
"118","Cyprus","CYP","14_1_1_1","2017",18.9746138593187
"119","Cyprus","CYP","14_1_1_1","2018",18.9515818585624
"120","Cyprus","CYP","14_1_1_1","2020",11.8800036234008
"121","Czechia","CZE","14_1_1_1","2017",37.7600379641013
"122","Czechia","CZE","14_1_1_1","2018",51.0537241666001
"123","Denmark","DNK","14_1_1_1","2015",38.0892495437013
"124","Denmark","DNK","14_1_1_1","2016",35.88418419545
"125","Denmark","DNK","14_1_1_1","2017",41.7842109969533
"126","Denmark","DNK","14_1_1_1","2018",35.5734809783996
"127","Denmark","DNK","14_1_1_1","2019",34.6278878901582
"128","Denmark","DNK","14_1_1_1","2020",35.8400303423163
"129","Dominican Republic","DOM","14_1_1_1","2015",39.8445431663184
"130","Dominican Republic","DOM","14_1_1_1","2016",20.3183193904658
"131","Dominican Republic","DOM","14_1_1_1","2017",18.5956793395027
"132","Dominican Republic","DOM","14_1_1_1","2018",18.9823014165762
"149","Ecuador","ECU","14_1_1_1","2016",27.9178865532689
"150","Ecuador","ECU","14_1_1_1","2017",27.8436238095885
"151","Ecuador","ECU","14_1_1_1","2018",28.8936694586674
"152","Egypt","EGY","14_1_1_1","2016",39.4696488530375
"153","Egypt","EGY","14_1_1_1","2018",58.8679280225518
"154","El Salvador","SLV","14_1_1_1","2018",49.897974883797
"155","Estonia","EST","14_1_1_1","2017",27.0152028319537
"156","Ethiopia","ETH","14_1_1_1","2018",58.8679280225518
"168","Fiji","FJI","14_1_1_1","2017",37.8762954418432
"169","Fiji","FJI","14_1_1_1","2018",28.3852128910708
"170","Finland","FIN","14_1_1_1","2017",47.460437193189
"171","Finland","FIN","14_1_1_1","2018",36.7869401987724
"172","France","FRA","14_1_1_1","2015",17.3115904029271
"173","France","FRA","14_1_1_1","2016",19.3417532300279
"174","France","FRA","14_1_1_1","2017",36.0325810249738
"175","France","FRA","14_1_1_1","2018",26.9750248734792
"176","France","FRA","14_1_1_1","2019",25.8150201931845
"177","France","FRA","14_1_1_1","2020",29.9612942823985
"178","French Polynesia","PYF","14_1_1_1","2015",26.7288991746323
"179","Georgia","GEO","14_1_1_1","2019",27.3835074846057
"180","Georgia","GEO","14_1_1_1","2020",14.781008657078
"181","Germany","DEU","14_1_1_1","2015",39.3728706278138
"182","Germany","DEU","14_1_1_1","2016",23.394165191354
"183","Germany","DEU","14_1_1_1","2017",43.8262708069584
"184","Germany","DEU","14_1_1_1","2018",32.3203969074095
"185","Germany","DEU","14_1_1_1","2019",48.7646209258154
"186","Ghana","GHA","14_1_1_1","2016",8.82675906175353
"187","Ghana","GHA","14_1_1_1","2017",6.05438694384026
"188","Ghana","GHA","14_1_1_1","2019",0
"189","Ghana","GHA","14_1_1_1","2020",0.877865513024345
"190","Greece","GRC","14_1_1_1","2015",21.7743933898363
"191","Greece","GRC","14_1_1_1","2016",24.2031404031747
"192","Greece","GRC","14_1_1_1","2017",27.1111457533401
"193","Greece","GRC","14_1_1_1","2018",25.4214994945658
"194","Greece","GRC","14_1_1_1","2019",49.3543642796679
"195","Greece","GRC","14_1_1_1","2020",41.1556946699218
"196","Grenada","GRD","14_1_1_1","2016",32.1327591483012
"197","Grenada","GRD","14_1_1_1","2017",30.0641551163623
"198","Grenada","GRD","14_1_1_1","2018",20.5383058132063
"199","Guam","GUM","14_1_1_1","2015",33.7215434567104
"200","Guam","GUM","14_1_1_1","2016",23.990684021946
"201","Guam","GUM","14_1_1_1","2017",25.9433110038737
"202","Guam","GUM","14_1_1_1","2018",41.1179862004382
"203","Guatemala","GTM","14_1_1_1","2016",19.9972308184791
"204","Guatemala","GTM","14_1_1_1","2017",14.7930632010008
"205","Guatemala","GTM","14_1_1_1","2018",34.5931450592016
"206","Guernsey","GGY","14_1_1_1","2016",30.557474877576
"207","Guernsey","GGY","14_1_1_1","2017",22.7468050273361
"208","Guernsey","GGY","14_1_1_1","2018",23.5813550041832
"209","Guyana","GUY","14_1_1_1","2016",21.5598924539154
"210","Guyana","GUY","14_1_1_1","2017",24.9820132799146
"211","Guyana","GUY","14_1_1_1","2018",19.3723140967095
"212","Iceland","ISL","14_1_1_1","2018",31.2206337535229
"213","India","IND","14_1_1_1","2016",27.9674040424089
"214","India","IND","14_1_1_1","2017",27.7701250542187
"215","India","IND","14_1_1_1","2018",36.5504427424351
"216","Indonesia","IDN","14_1_1_1","2016",23.4340513330976
"217","Indonesia","IDN","14_1_1_1","2017",25.0426952254428
"218","Indonesia","IDN","14_1_1_1","2018",30.871635086355
"219","Ireland","IRL","14_1_1_1","2015",48.855066108916
"220","Ireland","IRL","14_1_1_1","2016",38.3239249475764
"221","Ireland","IRL","14_1_1_1","2017",33.7568896436776
"222","Ireland","IRL","14_1_1_1","2018",47.0447973070943
"223","Ireland","IRL","14_1_1_1","2019",67.9763671674828
"224","Isle of Man","IMN","14_1_1_1","2016",17.7145791209285
"225","Israel","ISR","14_1_1_1","2015",35.2514413350853
"226","Israel","ISR","14_1_1_1","2018",19.4322032150023
"227","Italy","ITA","14_1_1_1","2015",15.6411357159046
"228","Italy","ITA","14_1_1_1","2016",17.0701923605275
"229","Italy","ITA","14_1_1_1","2017",22.8614846720978
"230","Italy","ITA","14_1_1_1","2018",29.2075248080242
"231","Italy","ITA","14_1_1_1","2019",35.4849717982437
"232","Jamaica","JAM","14_1_1_1","2016",19.3906139007251
"233","Jamaica","JAM","14_1_1_1","2017",19.6473812570825
"234","Jamaica","JAM","14_1_1_1","2018",22.6990568661225
"235","Japan","JPN","14_1_1_1","2015",29.8312327406894
"236","Japan","JPN","14_1_1_1","2016",23.7750191061518
"237","Japan","JPN","14_1_1_1","2017",24.2765769355861
"238","Japan","JPN","14_1_1_1","2018",31.2976172592968
"239","Jersey","JEY","14_1_1_1","2018",37.6361051770638
"240","Kazakhstan","KAZ","14_1_1_1","2015",50.8307891789131
"241","Kenya","KEN","14_1_1_1","2016",21.1872255096958
"242","Kenya","KEN","14_1_1_1","2017",23.5412935107551
"243","Kenya","KEN","14_1_1_1","2018",36.6022403957796
"244","Kenya","KEN","14_1_1_1","2020",44.8316261454112
"245","Kiribati","KIR","14_1_1_1","2016",58.8679280225518
"246","Kuwait","KWT","14_1_1_1","2016",63.6465267761072
"247","Kuwait","KWT","14_1_1_1","2017",46.2718320301176
"248","Kuwait","KWT","14_1_1_1","2018",43.6957309265317
"254","Lebanon","LBN","14_1_1_1","2019",22.7647497779335
"255","Luxembourg","LUX","14_1_1_1","2019",31.2196499530496
