"","X","Country","Code","SDG","Year","Value"
"736",736,"Albania","ALB","14_1_1_1",2000,NA
"737",737,"Albania","ALB","14_1_1_1",2001,NA
"738",738,"Albania","ALB","14_1_1_1",2002,NA
"739",739,"Albania","ALB","14_1_1_1",2003,NA
"740",740,"Albania","ALB","14_1_1_1",2004,NA
"741",741,"Albania","ALB","14_1_1_1",2005,NA
"742",742,"Albania","ALB","14_1_1_1",2006,NA
"743",743,"Albania","ALB","14_1_1_1",2007,NA
"744",744,"Albania","ALB","14_1_1_1",2008,NA
"745",745,"Albania","ALB","14_1_1_1",2009,NA
"746",746,"Albania","ALB","14_1_1_1",2010,NA
"747",747,"Albania","ALB","14_1_1_1",2011,NA
"748",748,"Albania","ALB","14_1_1_1",2012,NA
"749",749,"Albania","ALB","14_1_1_1",2013,NA
"750",750,"Albania","ALB","14_1_1_1",2014,NA
"751",751,"Albania","ALB","14_1_1_1",2015,NA
"752",752,"Albania","ALB","14_1_1_1",2016,NA
"753",753,"Albania","ALB","14_1_1_1",2017,NA
"754",754,"Albania","ALB","14_1_1_1",2018,35.4140964550945
"755",755,"Albania","ALB","14_1_1_1",2019,NA
"756",756,"Albania","ALB","14_1_1_1",2020,NA
"757",757,"Albania","ALB","14_1_1_2",2000,92.5124113073244
"758",758,"Albania","ALB","14_1_1_2",2001,92.5124113073244
"759",759,"Albania","ALB","14_1_1_2",2002,88.5113231927096
"760",760,"Albania","ALB","14_1_1_2",2003,99.55115272142
"761",761,"Albania","ALB","14_1_1_2",2004,78.2649105705801
"762",762,"Albania","ALB","14_1_1_2",2005,92.3537279260082
"763",763,"Albania","ALB","14_1_1_2",2006,94.9039965543037
"764",764,"Albania","ALB","14_1_1_2",2007,91.9116813637703
"765",765,"Albania","ALB","14_1_1_2",2008,83.3654478271711
"766",766,"Albania","ALB","14_1_1_2",2009,92.9884614512729
"767",767,"Albania","ALB","14_1_1_2",2010,76.111350395575
"768",768,"Albania","ALB","14_1_1_2",2011,84.1135266248045
"769",769,"Albania","ALB","14_1_1_2",2012,92.807109015483
"770",770,"Albania","ALB","14_1_1_2",2013,95.5047264978578
"771",771,"Albania","ALB","14_1_1_2",2014,97.0008840931245
"772",772,"Albania","ALB","14_1_1_2",2015,95.1080180445674
"773",773,"Albania","ALB","14_1_1_2",2016,98.2023439802326
"774",774,"Albania","ALB","14_1_1_2",2017,97.6111616422451
"775",775,"Albania","ALB","14_1_1_2",2018,94.9039965543037
"776",776,"Albania","ALB","14_1_1_2",2019,94.9039965543037
"777",777,"Albania","ALB","14_1_1_2",2020,94.9039965543037
"778",778,"Albania","ALB","14_5_1",2000,9.23875
"779",779,"Albania","ALB","14_5_1",2001,9.23875
"780",780,"Albania","ALB","14_5_1",2002,9.23875
"781",781,"Albania","ALB","14_5_1",2003,9.23875
"782",782,"Albania","ALB","14_5_1",2004,21.51751
"783",783,"Albania","ALB","14_5_1",2005,33.34536
"784",784,"Albania","ALB","14_5_1",2006,33.34536
"785",785,"Albania","ALB","14_5_1",2007,38.68951
"786",786,"Albania","ALB","14_5_1",2008,38.68951
"787",787,"Albania","ALB","14_5_1",2009,38.68951
"788",788,"Albania","ALB","14_5_1",2010,63.3863
"789",789,"Albania","ALB","14_5_1",2011,63.3863
"790",790,"Albania","ALB","14_5_1",2012,63.3863
"791",791,"Albania","ALB","14_5_1",2013,70.65466
"792",792,"Albania","ALB","14_5_1",2014,70.65466
"793",793,"Albania","ALB","14_5_1",2015,70.65466
"794",794,"Albania","ALB","14_5_1",2016,70.69782
"795",795,"Albania","ALB","14_5_1",2017,70.69782
"796",796,"Albania","ALB","14_5_1",2018,70.69782
"797",797,"Albania","ALB","14_5_1",2019,70.69782
"798",798,"Albania","ALB","14_5_1",2020,70.69782
"799",799,"Albania","ALB","14_6_1",2000,50
"800",800,"Albania","ALB","14_6_1",2001,50
"801",801,"Albania","ALB","14_6_1",2002,50
"802",802,"Albania","ALB","14_6_1",2003,50
"803",803,"Albania","ALB","14_6_1",2004,50
"804",804,"Albania","ALB","14_6_1",2005,50
"805",805,"Albania","ALB","14_6_1",2006,50
"806",806,"Albania","ALB","14_6_1",2007,50
"807",807,"Albania","ALB","14_6_1",2008,50
"808",808,"Albania","ALB","14_6_1",2009,50
"809",809,"Albania","ALB","14_6_1",2010,50
"810",810,"Albania","ALB","14_6_1",2011,50
"811",811,"Albania","ALB","14_6_1",2012,50
"812",812,"Albania","ALB","14_6_1",2013,50
"813",813,"Albania","ALB","14_6_1",2014,50
