"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"1","Afghanistan","AFG","AFG",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"2","Albania","ALB","ALB",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"3","Algeria","DZA","DZA",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"4","Angola","AGO","AGO",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"5","Argentina","ARG","ARG",0,NA,NA,NA,NA,77.921,NA,NA,NA,NA,216.205,NA,NA,NA,NA,275.436,470.86,490.527,527.632
"6","Armenia","ARM","ARM",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"7","Australia","AUS","AUS",0,NA,NA,NA,NA,5677.333,NA,NA,NA,NA,10021.639,NA,NA,NA,NA,10580.179,26921.677,24241.877,8898.983
"8","Austria","AUT","AUT",0,NA,NA,NA,NA,3931.768,NA,NA,NA,NA,1960.595,NA,NA,NA,NA,2891.511,2949.51,3051.102,3126.375
"9","Azerbaijan","AZE","AZE",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"10","Bangladesh","BGD","BGD",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"11","Belgium","BEL","BEL",0,NA,NA,NA,NA,250.44,NA,NA,NA,NA,292.929,NA,NA,NA,NA,321.759,321.036,322.759,323.694
"12","Belize","BLZ","BLZ",104.888,NA,NA,NA,NA,104.888,NA,NA,NA,NA,104.888,NA,NA,NA,NA,150.83,197.122,197.122,197.122
"13","Bhutan","BTN","BTN",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"14","Bosnia and Herzegovina","BIH","BIH",0,NA,NA,NA,NA,0,NA,NA,NA,NA,108.692,NA,NA,NA,NA,1496.115,1495.526,1532.625,1654.459
"15","Botswana","BWA","BWA",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"16","Brazil","BRA","BRA",638.42,NA,NA,NA,NA,3119.289,NA,NA,NA,NA,5979.625,NA,NA,NA,NA,6400.624,6595.851,7305.835,6905.47
"17","Brunei Darussalam","BRN","BRN",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"18","Burkina Faso","BFA","BFA",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"19","Burundi","BDI","BDI",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"20","Cambodia","KHM","KHM",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,12.746,12.746,7.896,7.896
"21","Cameroon","CMR","CMR",0,NA,NA,NA,NA,0,NA,NA,NA,NA,705.064,NA,NA,NA,NA,942.462,940.945,1130.301,411.976
"22","Canada","CAN","CAN",33.282,NA,NA,NA,NA,111573.958,NA,NA,NA,NA,154283.3887,NA,NA,NA,NA,159726.658,166481.568,169279.299,170985.027
"23","Chad","TCD","TCD",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
"24","Chile","CHL","CHL",0,NA,NA,NA,NA,2109.742,NA,NA,NA,NA,2433.373,NA,NA,NA,NA,2399.006,2321.606,2278.792,2328.289
"25","China","CHN","CHN",0,NA,NA,NA,NA,435.452,NA,NA,NA,NA,1377.75,NA,NA,NA,NA,6774.114,6527.081,6755.355,7589.198
"26","Colombia","COL","COL",0,NA,NA,NA,NA,87.129,NA,NA,NA,NA,94.206,NA,NA,NA,NA,137.688,144.025,132.485,150.037
"27","Costa Rica","CRI","CRI",87.97,NA,NA,NA,NA,74.965,NA,NA,NA,NA,56.238,NA,NA,NA,NA,54.909,46.677,41.87,39.429
"28","Croatia","HRV","HRV",72.203,NA,NA,NA,NA,2018.987,NA,NA,NA,NA,2018.987,NA,NA,NA,NA,2039.123,2039.223,2039.241,2048.517
"29","Cuba","CUB","CUB",0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0
