"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"41","Guinea","GIN",NA,3.80264,NA,NA,NA,NA,3.80264,NA,NA,NA,NA,3.80264,NA,NA,NA,NA,3.80264,NA,NA,NA
"42","Hungary","HUN",NA,16.32673,NA,NA,NA,NA,20.49299,NA,NA,NA,NA,42.14596,NA,NA,NA,NA,42.29096,NA,NA,NA
"43","India","IND",NA,18.43326,NA,NA,NA,NA,22.07068,NA,NA,NA,NA,22.8092,NA,NA,NA,NA,22.8092,NA,NA,NA
"44","Indonesia","IDN",NA,32.81068,NA,NA,NA,NA,32.80409,NA,NA,NA,NA,35.39303,NA,NA,NA,NA,35.39281,NA,NA,NA
"45","Iraq","IRQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Ireland","IRL",NA,NA,NA,NA,NA,NA,0.86205,NA,NA,NA,NA,0.86205,NA,NA,NA,NA,0.86205,NA,NA,NA
"47","Italy","ITA",NA,30.9132,NA,NA,NA,NA,32.93536,NA,NA,NA,NA,35.11886,NA,NA,NA,NA,35.11886,NA,NA,NA
"48","Japan","JPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.46767,NA,NA,NA,NA,NA,NA,NA,NA
"49","Jordan","JOR",NA,NA,NA,NA,NA,NA,35.48718,NA,NA,NA,NA,35.48718,NA,NA,NA,NA,35.48718,NA,NA,NA
"50","Lebanon","LBN",NA,2.54916,NA,NA,NA,NA,2.54916,NA,NA,NA,NA,2.54916,NA,NA,NA,NA,2.54916,NA,NA,NA
"51","Liberia","LBR",NA,4.1876,NA,NA,NA,NA,4.73798,NA,NA,NA,NA,4.73798,NA,NA,NA,NA,4.73798,NA,NA,NA
"52","Madagascar","MDG",NA,24.05195,NA,NA,NA,NA,38.09829,NA,NA,NA,NA,38.09829,NA,NA,NA,NA,39.38908,NA,NA,NA
"53","Malawi","MWI",NA,24.05466,NA,NA,NA,NA,24.05466,NA,NA,NA,NA,24.05466,NA,NA,NA,NA,24.05466,NA,NA,NA
"54","Malaysia","MYS",NA,18.15724,NA,NA,NA,NA,22.21221,NA,NA,NA,NA,21.92836,NA,NA,NA,NA,22.71232,NA,NA,NA
"55","Mexico","MEX",NA,5.73334,NA,NA,NA,NA,10.93163,NA,NA,NA,NA,12.12879,NA,NA,NA,NA,13.32594,NA,NA,NA
"56","Mongolia","MNG",NA,44.12561,NA,NA,NA,NA,42.58811,NA,NA,NA,NA,41.04264,NA,NA,NA,NA,40.2229,NA,NA,NA
"57","Morocco","MAR",NA,1.8821,NA,NA,NA,NA,4.01278,NA,NA,NA,NA,6.67614,NA,NA,NA,NA,7.45739,NA,NA,NA
"58","Mozambique","MOZ",NA,11.52609,NA,NA,NA,NA,11.21508,NA,NA,NA,NA,10.91987,NA,NA,NA,NA,25,NA,NA,NA
"59","Myanmar","MMR",NA,4.20096,NA,NA,NA,NA,16.87614,NA,NA,NA,NA,7.16573,NA,NA,NA,NA,15.37826,NA,NA,NA
"60","Namibia","NAM",NA,9.95809,NA,NA,NA,NA,9.95809,NA,NA,NA,NA,9.95809,NA,NA,NA,NA,9.95809,NA,NA,NA
"61","Nepal","NPL",NA,15.07151,NA,NA,NA,NA,14.46645,NA,NA,NA,NA,14.46645,NA,NA,NA,NA,16.22662,NA,NA,NA
"62","New Zealand","NZL",NA,NA,NA,NA,NA,NA,35.33294,NA,NA,NA,NA,35.52994,NA,NA,NA,NA,36.95823,NA,NA,NA
"63","Nicaragua","NIC",NA,31.86866,NA,NA,NA,NA,31.86866,NA,NA,NA,NA,31.86866,NA,NA,NA,NA,31.86866,NA,NA,NA
"64","Nigeria","NGA",NA,35.87874,NA,NA,NA,NA,35.87874,NA,NA,NA,NA,35.87874,NA,NA,NA,NA,35.87874,NA,NA,NA
"65","Norway","NOR",NA,1.30449,NA,NA,NA,NA,2.28699,NA,NA,NA,NA,3.53369,NA,NA,NA,NA,4.78038,NA,NA,NA
"66","Pakistan","PAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Paraguay","PRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.29524,NA,NA,NA,NA,12.29524,NA,NA,NA
"68","Peru","PER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22293,NA,NA,NA,NA,25.47365,NA,NA,NA
"69","Poland","POL",NA,1.90779,NA,NA,NA,NA,1.93959,NA,NA,NA,NA,1.95019,NA,NA,NA,NA,1.95019,NA,NA,NA
"70","Portugal","PRT",NA,21.40163,NA,NA,NA,NA,21.90446,NA,NA,NA,NA,21.14236,NA,NA,NA,NA,21.14236,NA,NA,NA
"71","Romania","ROU",NA,2.23,NA,NA,NA,NA,13.32167,NA,NA,NA,NA,25.44819,NA,NA,NA,NA,37.9828,NA,NA,NA
"72","Rwanda","RWA",NA,12.91667,NA,NA,NA,NA,12.91667,NA,NA,NA,NA,12.91667,NA,NA,NA,NA,12.91667,NA,NA,NA
"73","Sao Tome and Principe","STP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Serbia","SRB",NA,8.78676,NA,NA,NA,NA,13.97059,NA,NA,NA,NA,16.61765,NA,NA,NA,NA,18.41912,NA,NA,NA
"75","Sierra Leone","SLE",NA,3.67937,NA,NA,NA,NA,3.67937,NA,NA,NA,NA,6.14323,NA,NA,NA,NA,7.98292,NA,NA,NA
"76","Somalia","SOM",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"77","South Africa","ZAF",NA,10.24781,NA,NA,NA,NA,10.24781,NA,NA,NA,NA,10.24781,NA,NA,NA,NA,10.24781,NA,NA,NA
