"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"1","Afghanistan","AFG",NA,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304
"2","Albania","ALB",NA,49.54194,49.54194,49.54194,49.54194,49.54194,73.91273,74.23987,74.23987,74.23987,74.23987,74.23987,74.23987,74.23987,99.01331,99.01331,99.01331,99.01331,99.01331,99.01331
"3","Algeria","DZA",NA,15.38462,22.88467,22.88467,30.35034,50.76374,50.76374,50.76374,50.76374,50.76374,50.76374,50.76374,52.52907,52.52907,52.52907,52.52907,52.52907,52.52907,52.52907,52.52907
"4","Angola","AGO",NA,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312
"5","Argentina","ARG",NA,26.08965,26.08965,26.33901,27.33454,27.61198,29.07766,29.0837,29.0837,31.46651,39.04553,39.04553,39.04553,39.04553,39.0803,39.0803,39.21029,39.43604,39.64289,39.64289
"6","Armenia","ARM",NA,24.97328,24.97328,24.97328,24.97328,24.97328,24.97328,24.97328,24.97328,24.97328,26.79469,26.79469,26.79469,26.79469,26.79469,26.79469,26.79469,26.79469,26.79469,26.79469
"7","Australia","AUS",NA,21.45218,23.56024,27.17199,27.47325,27.72395,27.7546,27.7546,28.30503,28.36835,29.92034,29.96651,30.17467,30.60083,30.73873,36.30328,36.31073,36.63252,36.63252,36.63252
"8","Austria","AUT",NA,68.79357,68.79357,71.18202,71.18202,71.1943,71.1943,71.1943,71.1943,71.1943,71.1943,71.1943,71.1943,71.1943,71.1943,71.21256,71.21256,71.21256,71.21256,71.21256
"9","Azerbaijan","AZE",NA,5.78726,11.64511,11.64511,20.60207,20.60207,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232
"10","Bangladesh","BGD",NA,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084,20.76084
