Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304,0.11304
Albania,,49.54194,49.54194,49.54194,49.54194,49.54194,73.91273,74.23987,74.23987,74.23987,74.23987,74.23987,74.23987,74.23987,99.01331,99.01331,99.01331,99.01331,99.01331,99.01331
Algeria,,15.38462,22.88467,22.88467,30.35034,50.76374,50.76374,50.76374,50.76374,50.76374,50.76374,50.76374,52.52907,52.52907,52.52907,52.52907,52.52907,52.52907,52.52907,52.52907
Angola,,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312,33.33312
Argentina,,26.08965,26.08965,26.33901,27.33454,27.61198,29.07766,29.0837,29.0837,31.46651,39.04553,39.04553,39.04553,39.04553,39.0803,39.0803,39.21029,39.43604,39.64289,39.64289
Armenia,,24.97328,24.97328,24.97328,24.97328,24.97328,24.97328,24.97328,24.97328,24.97328,26.79469,26.79469,26.79469,26.79469,26.79469,26.79469,26.79469,26.79469,26.79469,26.79469
Australia,,21.45218,23.56024,27.17199,27.47325,27.72395,27.7546,27.7546,28.30503,28.36835,29.92034,29.96651,30.17467,30.60083,30.73873,36.30328,36.31073,36.63252,36.63252,36.63252
Australia and New Zealand,,21.58744,22.97479,25.34683,25.56037,25.75742,26.05207,26.85889,27.2448,27.45041,29.16541,29.19517,29.33144,29.69457,29.94441,33.62414,33.86862,34.13563,34.13677,34.13677
Austria,,68.79357,68.79357,71.18202,71.18202,71.1943,71.1943,71.1943,71.1943,71.1943,71.1943,71.1943,71.1943,71.1943,71.1943,71.21256,71.21256,71.21256,71.21256,71.21256
Azerbaijan,,5.78726,11.64511,11.64511,20.60207,20.60207,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232,21.00232
