"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"1","Afghanistan","AFG",NA,0,0,0,0,0,0,0,0,0,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651,7.50651
"2","Albania","ALB",NA,24.41642,24.41642,24.41642,24.41642,24.41998,24.41998,26.63592,29.67411,34.6309,34.6309,34.87371,39.69468,44.58797,44.65322,44.65322,44.65322,44.67139,44.67139,46.48584,46.48584
"3","Algeria","DZA",NA,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635,6.70635
"4","Angola","AGO",NA,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403,9.98403
"5","Argentina","ARG",NA,28.32375,28.35151,29.29353,30.5702,31.25952,31.26426,31.3936,31.3936,31.3936,34.58119,34.58119,34.58119,35.15079,35.15079,35.74838,35.98557,36.0577,36.0577,37.44995,37.44995
"6","Armenia","ARM",NA,12.99464,12.99464,15.5663,15.5663,15.5663,15.5663,15.5663,15.60126,15.60126,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077,22.34077
"7","Australia","AUS",NA,37.79628,39.45291,39.59393,41.36012,41.4186,42.64046,45.00601,47.49731,47.86085,48.99295,51.09647,52.56909,55.89745,58.75329,62.99955,63.95001,64.10556,64.10556,64.10556,64.10556
"8","Austria","AUT",NA,53.89962,56.30876,58.73143,58.73143,59.81098,59.8222,62.12972,62.74382,62.805,62.80897,62.87984,62.88358,62.90747,64.405,64.41826,64.43193,64.43601,64.43601,64.45566,64.45566
"9","Azerbaijan","AZE",NA,32.89862,32.89862,32.89862,36.47726,41.7327,41.96662,50.04244,50.04244,53.42115,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211,55.51211
"10","Bangladesh","BGD",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Belgium","BEL",NA,20.07021,44.1822,56.38336,56.38352,56.38352,56.38373,56.38457,56.38643,56.38643,56.38644,56.38644,56.38644,56.38644,56.38658,56.38663,61.48075,61.48082,61.48098,61.48098,61.48098
"12","Belize","BLZ",NA,85.20814,86.60443,86.60443,86.60443,87.10562,87.10562,87.10562,87.10562,87.10562,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585,87.10585
"13","Bhutan","BTN",NA,43.3184,43.3184,43.3184,43.3184,43.3184,43.3184,43.3184,43.3184,45.769,45.769,45.769,45.769,45.769,45.769,47.33225,47.33225,47.33225,47.33225,47.33225,47.33225
"14","Bosnia and Herzegovina","BIH",NA,0,0,0,0,0,0,0,0,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571,14.28571
"15","Botswana","BWA",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Brazil","BRA",NA,37.93597,39.62016,41.74222,42.7267,43.64136,44.55639,46.33786,46.50177,46.77971,46.96851,47.85248,47.88514,47.88668,47.94806,47.97946,47.97946,47.97946,48.11827,48.11827,48.11827
"17","Brunei Darussalam","BRN",NA,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279,69.52279
"18","Burkina Faso","BFA",NA,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354,99.99354
"19","Burundi","BDI",NA,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964,64.55964
"20","Cambodia","KHM",NA,75.71372,75.71372,75.71372,75.71372,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888,84.94888
"21","Cameroon","CMR",NA,17.44379,21.22512,21.22512,21.22512,21.22512,21.22512,21.44958,22.90346,22.90346,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694,24.96694
"22","Canada","CAN",NA,24.98632,25.05193,25.05193,26.77029,26.77029,27.39808,27.97892,28.34073,29.67045,29.69988,31.95387,31.96335,31.96335,32.08159,32.08159,32.20637,32.99419,37.11052,37.11052,37.11052
"23","Chad","TCD",NA,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988,49.99988
"24","Chile","CHL",NA,36.95026,36.95026,36.95026,36.95027,36.95027,38.30907,38.30907,38.30907,38.30907,38.31326,39.74507,39.74507,39.74507,41.19219,42.64146,43.44096,43.44096,43.53217,44.85646,44.85798
"25","China","CHN",NA,3.61283,3.61283,3.61283,6.6456,7.0504,7.0504,9.83654,10.02541,10.02541,10.02541,10.12784,10.57388,10.57388,10.95543,10.95543,10.95543,11.11669,11.1167,11.62193,11.62193
