"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"1","Afghanistan","AFG",NA,0.04239,0.04239,0.04239,0.04239,0.04239,0.04239,0.04239,0.04239,0.04239,6.14129,6.14129,6.14129,6.14129,6.14129,6.14129,6.14129,6.14129,6.14129,6.14129
"2","Albania","ALB",NA,26.41338,26.41338,26.41339,28.12444,33.68052,44.42248,46.96139,51.93638,57.16259,57.16259,68.10794,68.10794,68.10794,76.08799,76.10988,76.10988,76.10988,76.10988,76.10988
"3","Algeria","DZA",NA,23.57792,31.3496,31.3496,33.77379,39.67099,39.67099,39.67099,39.67099,39.67099,39.67099,39.67099,40.18098,40.18098,40.18098,40.18098,40.18098,40.18098,40.18098,40.18098
"4","Angola","AGO",NA,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736
"5","Argentina","ARG",NA,23.29553,24.06225,24.83055,26.03037,27.15961,27.96379,28.099,28.099,28.48588,30.21363,30.22275,30.23606,30.54156,30.54678,31.03482,31.52652,31.85164,31.88267,32.40464
"6","Armenia","ARM",NA,12.53671,12.53671,15.01628,15.01628,15.01628,15.01628,15.01628,15.05002,15.05002,21.54746,21.54746,21.54746,21.54746,21.54746,21.54746,21.54746,21.54746,21.54746,21.54746
"7","Australia","AUS",NA,31.84505,32.55658,34.11462,34.88527,35.51045,35.90326,37.54972,38.46969,39.51642,42.61992,43.67877,45.89999,47.14905,48.7801,51.36442,51.861,52.67042,52.67042,52.67094
"8","Austria","AUT",NA,57.59098,59.48686,61.70676,61.71313,63.74952,63.74952,64.80738,65.19333,66.34891,66.37549,66.37599,66.37599,66.37599,66.56827,66.59106,66.63162,66.63432,66.63432,66.63432
"9","Azerbaijan","AZE",NA,22.08141,23.67139,23.67139,27.99452,30.77212,31.00439,35.27316,35.27316,37.0591,38.16429,38.16429,38.16429,38.16429,38.16429,38.16429,38.16429,38.16429,38.16429,38.16429
"10","Bangladesh","BGD",NA,37.79581,37.92072,37.92072,37.92072,37.92072,37.92072,37.92072,37.92072,37.92072,42.79444,48.00274,48.01794,48.01794,48.02492,48.02492,48.02492,48.02492,48.02492,48.02492
"11","Belgium","BEL",NA,60.91832,65.37043,74.23185,77.27046,78.62521,80.75213,80.76734,80.76814,80.8009,80.80102,80.80107,80.80109,80.80145,80.8016,80.99527,80.9953,80.99545,80.99545,80.99545
"12","Belize","BLZ",NA,44.60669,45.25372,45.6454,45.64548,45.74591,45.75281,45.75284,45.75381,45.75381,45.75537,45.77365,45.96086,45.96086,45.96152,45.96152,45.96152,45.96152,45.96152,45.96152
"13","Bhutan","BTN",NA,43.31882,43.31882,43.31882,43.31882,43.31882,43.31882,43.31882,43.31882,45.77035,45.77035,45.77035,45.77035,45.77062,45.77062,47.33387,47.33387,47.33387,47.33387,47.33387
"14","Bosnia and Herzegovina","BIH",NA,0,0,0,0,0,0,0,9.09091,18.18182,18.18182,18.18182,18.18182,18.18182,18.18182,18.18182,18.18182,18.18182,18.18182,18.18182
"15","Botswana","BWA",NA,51.10971,51.10971,51.10971,51.10971,51.10971,51.10971,51.10971,51.10971,51.10971,51.10971,51.10971,51.10971,51.10971,51.10971,51.10978,51.10978,51.10978,51.10978,51.10978
"16","Brazil","BRA",NA,33.42432,34.22998,35.91396,36.41054,36.88067,37.669,39.52621,39.89424,40.59989,40.79672,41.90916,41.96819,41.97064,41.9951,42.05268,42.05268,42.05769,42.11384,42.17193
"17","Brunei Darussalam","BRN",NA,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324,63.11324
"18","Burkina Faso","BFA",NA,66.71418,66.71418,66.71418,66.71418,66.71418,66.71418,66.71418,66.71418,66.71418,71.83337,71.83337,71.83337,71.83337,71.83337,71.83337,71.83337,71.83337,71.83337,71.83337
"19","Burundi","BDI",NA,64.40746,64.40746,67.08927,67.08927,67.08927,67.08927,67.08927,67.08927,67.08927,67.08927,67.08927,67.08927,67.08927,67.31595,67.31595,67.31595,67.31595,67.31595,67.31595
"20","Cambodia","KHM",NA,35.84349,35.84349,35.84349,35.84349,38.11964,38.11964,38.11964,39.32327,39.32327,39.53658,39.53658,39.53658,39.53658,39.53658,39.53658,39.53875,39.53875,39.53875,39.53875
"21","Cameroon","CMR",NA,18.03044,20.78136,20.78136,20.78136,20.78136,24.72442,24.72442,26.22877,26.22877,29.45336,29.45336,29.45336,35.32592,35.32592,35.32592,35.32592,35.32592,35.32592,35.32592
"22","Canada","CAN",NA,18.08095,18.36052,18.54048,18.89165,18.89873,21.23804,21.31646,21.36212,22.5135,22.69767,24.83974,24.92334,24.92334,24.93887,24.96827,25.10265,25.4765,26.46674,26.46674
"23","Chad","TCD",NA,67.31376,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118,70.63118
"24","Chile","CHL",NA,29.13072,29.13072,29.13072,29.13072,30.31227,31.15786,31.15786,31.15786,31.15786,31.2356,32.00145,32.00145,32.00145,32.77549,33.55068,34.75355,34.75355,34.80147,34.80166
"25","China","CHN",NA,28.21447,30.14968,31.36816,33.31647,34.49133,34.91242,36.18388,36.38313,36.62062,37.09736,37.11971,37.34762,37.34762,37.68166,37.68166,37.70378,37.72943,37.72943,37.77154
"26","Colombia","COL",NA,23.22516,23.30735,23.3796,23.3796,23.37969,24.2365,26.04998,27.90276,29.68786,31.62706,31.82018,36.05501,36.21009,36.7516,37.33094,38.74611,39.84666,41.37994,41.37994
"27","Costa Rica","CRI",NA,40.04669,40.04669,40.04671,41.20067,41.20067,41.20067,41.20067,41.20067,41.20067,41.20067,41.72287,41.72287,41.72287,41.72337,41.72337,41.72337,41.72337,41.72337,41.72337
"28","Croatia","HRV",NA,22.46539,22.7065,22.7065,22.90536,22.90536,22.90536,24.66056,24.66056,24.66056,24.66056,24.66332,28.30146,28.30146,74.13113,74.13113,74.14372,74.14372,74.14372,74.14372
"29","Cuba","CUB",NA,2.40658,24.81806,30.3839,30.3839,30.3839,30.3839,30.3839,30.3839,36.44327,36.44327,52.53062,52.53062,55.90674,55.90674,55.90674,55.90674,55.90674,55.90674,55.90674
"30","Djibouti","DJI",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94505,0.94505,0.94505,0.94505,0.94505,0.94505
"31","Ecuador","ECU",NA,18.78095,18.99992,21.12847,21.44452,22.3313,22.3313,22.41096,22.41096,22.41107,22.43152,24.64934,24.66142,26.51347,26.51347,26.94646,26.94715,26.98022,29.40535,29.67058
"32","El Salvador","SLV",NA,1.14866,1.14866,1.14866,1.14866,1.14866,9.88208,9.88208,11.14274,12.58997,13.81556,22.38607,23.83116,23.83116,23.83116,26.57828,26.57828,26.57828,26.57828,26.57828
"33","Eritrea","ERI",NA,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668,13.33668
"34","Ethiopia","ETH",NA,17.59842,17.59842,17.59842,17.59842,17.59842,17.59842,17.59842,18.62653,18.62653,18.62653,18.62653,18.62653,18.62653,18.62653,18.62653,18.62653,18.62653,18.62653,18.62653
"35","Finland","FIN",NA,72.14249,72.15304,72.33875,72.38195,74.20441,74.34077,74.40236,74.41026,74.43749,74.54407,74.55216,74.78528,74.78575,74.78747,74.79398,74.79561,74.80626,74.80626,74.80626
"36","France","FRA",NA,54.75965,55.71213,56.7325,59.882,64.10269,68.39349,78.00144,78.46478,79.0541,79.22391,79.57366,79.87221,80.21449,80.45356,80.80951,80.8362,80.83631,80.91207,80.91207
"37","Georgia","GEO",NA,21.38151,21.38151,21.38151,27.14349,27.14349,27.14349,29.0344,31.94025,31.94025,31.94025,31.94025,35.23721,36.10985,36.10992,37.77029,37.77029,37.77029,37.77029,37.77029
"38","Germany","DEU",NA,57.32612,61.2936,63.24507,64.44398,69.67235,70.46058,72.68182,75.75734,77.20675,77.4888,77.83459,77.88893,77.96101,78.20941,78.25445,78.34105,78.34105,78.34105,78.34105
"39","Greece","GRC",NA,64.75198,72.29169,77.43258,77.47504,77.47936,77.65949,78.18332,78.18986,79.68667,80.05801,85.38796,85.38796,85.38796,85.38796,85.38796,85.38796,85.38796,85.79673,85.79673
"40","Guatemala","GTM",NA,20.3396,20.43995,20.5368,20.61532,20.95471,21.31796,22.47485,25.01453,25.08624,25.12842,25.21173,25.26202,25.27769,25.71052,28.54963,28.55149,29.52055,29.57015,29.57015
"41","Guinea","GIN",NA,68.1336,68.1336,73.87117,73.87117,73.87117,78.87117,78.87117,78.87117,78.87117,78.87117,78.87117,78.87117,78.87117,78.87117,78.87117,78.87117,78.87117,78.87117,78.87117
