"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
"1","Afghanistan","AFG","AFG",0.83905,0.83878,0.83848,0.83822,0.83811,0.83799,0.83791,0.838,0.83795,0.83791,0.83786,0.83779,0.83772,0.83766,0.83759,0.83751,0.83744,0.83734,0.83731,0.83724
"2","Albania","ALB","ALB",0.88878,0.88643,0.88319,0.88069,0.88003,0.87716,0.87512,0.8729,0.87036,0.8677,0.86509,0.86253,0.8601,0.857,0.85357,0.8518,0.84989,0.84663,0.84376,0.84031
"3","Algeria","DZA","DZA",0.9071,0.90664,0.90634,0.90601,0.90572,0.90562,0.90561,0.90557,0.9055,0.9054,0.90531,0.90513,0.905,0.90488,0.9047,0.90448,0.9044,0.90424,0.90406,0.90396
"4","Angola","AGO","AGO",0.93483,0.9348,0.93474,0.93468,0.93461,0.93454,0.93449,0.93455,0.93454,0.93451,0.9345,0.93446,0.9344,0.93445,0.93439,0.93428,0.93432,0.93426,0.93422,0.93416
"5","Argentina","ARG","ARG",0.86534,0.86495,0.86465,0.86422,0.86402,0.86375,0.8635,0.86322,0.86308,0.86289,0.86282,0.86244,0.86223,0.86206,0.8619,0.86149,0.86133,0.86096,0.86072,0.86031
"6","Armenia","ARM","ARM",0.85431,0.85419,0.85413,0.85356,0.85219,0.85014,0.84838,0.84663,0.84604,0.84602,0.84601,0.846,0.846,0.84599,0.84599,0.84599,0.84599,0.84598,0.84598,0.84598
"7","Australia","AUS","AUS",0.88096,0.87773,0.87465,0.87167,0.86832,0.8652,0.86227,0.85894,0.85573,0.85277,0.85044,0.84751,0.84387,0.84012,0.83745,0.83487,0.83131,0.82796,0.82515,0.82201
"8","Austria","AUT","AUT",0.89405,0.89404,0.89404,0.89404,0.89404,0.89407,0.89411,0.89414,0.89417,0.89418,0.89422,0.89424,0.89428,0.89431,0.89435,0.89439,0.89443,0.89446,0.89449,0.89453
"9","Azerbaijan","AZE","AZE",0.91452,0.91387,0.91374,0.91373,0.91303,0.91289,0.91211,0.9121,0.91189,0.91189,0.91189,0.91188,0.91199,0.91207,0.91222,0.91221,0.91229,0.9125,0.91236,0.91221
"10","Bangladesh","BGD","BGD",0.83352,0.82921,0.82316,0.82021,0.81696,0.8125,0.80711,0.80371,0.80019,0.79645,0.79224,0.78772,0.78557,0.78056,0.7765,0.77286,0.76899,0.76496,0.76026,0.75661
"11","Belgium","BEL","BEL",0.98413,0.9841,0.98408,0.98417,0.98419,0.98435,0.98442,0.98454,0.98468,0.98477,0.98491,0.98503,0.9852,0.98533,0.98554,0.98566,0.98579,0.98588,0.98604,0.98619
"12","Belize","BLZ","BLZ",0.78622,0.78372,0.78138,0.77879,0.77637,0.77376,0.77178,0.76903,0.76688,0.76496,0.76214,0.7597,0.75741,0.75469,0.75268,0.75024,0.7479,0.74535,0.74326,0.74063
"13","Bhutan","BTN","BTN",0.80232,0.80188,0.80154,0.80136,0.80112,0.80108,0.80117,0.80097,0.80096,0.80089,0.80068,0.80045,0.80031,0.80005,0.79971,0.79965,0.79946,0.79911,0.79887,0.79885
