GeoAreaCode,GeoAreaName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
8,Albania,,,,,,3.04,,0.53,0.88,,,0.26,0.79,,0.62,,,1.06,2.12,1.32
12,Algeria,,,,,,4.28,1.57,3.56,0.39,0.16,0.17,2.37,0.28,1.66,0.99,2.53,0.15,3.2,0.1,0.13
16,American Samoa,,,,,,1.22,8.68,7.02,2.51,1.04,0.13,0.23,1.6,3.02,4.41,0.33,1.43,12.21,2.36,3.46
24,Angola,,,,,,13.93,16,12.62,20.37,21.46,15.08,16.74,18.38,21.29,15.37,8.49,12.7,19.33,13.67,19.78
660,Anguilla,,,,,,0.59,1.67,1.05,6.03,0.02,0.09,1.04,4.43,6.97,7.59,2.08,7.85,3.56,5.04,6.22
28,Antigua and Barbuda,,,,,,10.89,10.06,1.21,21.57,0.61,2.67,5.72,11.55,9.31,7,1.97,18.16,3.68,3.97,4.3
32,Argentina,,,,,,10.12,8.38,7.61,5.15,7.29,5.88,3.72,5.45,9.51,8.43,8.79,5.78,6.3,7.32,6.22
533,Aruba,,,,,,3.76,9.56,1.42,0.65,0.87,1.51,0.99,3.72,8.92,3.58,4.83,7.64,3.92,3.19,4.35
36,Australia,,,,,,1.1,1.15,1.34,1.8,1.49,1.47,2.42,1.84,2.46,2.75,1.94,2.06,1.79,2.28,1.58
44,Bahamas,,,,,,0.06,0.09,0.07,0.21,0.13,0.14,0.11,0.56,0.71,0.49,0.38,0.57,1.36,1.84,0.91
48,Bahrain,,,,,,2.07,,,,3.45,,0.69,12.14,10.23,14.76,7.59,2.76,3.79,2.53,3.45
50,Bangladesh,,,,,,9.72,12.3,9.65,10.2,9.1,11.59,8.52,5.1,11.07,8.98,7.2,8.26,7.31,8.47,8.06
52,Barbados,,,,,,22.4,19.51,8.21,23.39,5.6,6.16,19.32,16.72,13.6,8.67,7.46,19.21,16.45,14.5,10.48
56,Belgium,,,,,,17.07,24.85,17.07,7.83,13.11,10.77,0.61,26.52,14.63,5.69,5.49,4.47,9.76,1.42,17.23
84,Belize,,,,,,0.86,0.43,0.49,0.89,0.7,0.78,0.6,1.26,1.32,1.47,1.39,1.6,1.28,1.19,2.72
204,Benin,,,,,,3.04,2.57,3.76,2.82,3.24,1.9,2.31,3.82,5.03,4.19,5.21,2.94,3.82,4.68,3.89
60,Bermuda,,,,,,1.16,0.16,0.1,0.5,0.04,0.02,0.29,0.27,0.75,1.71,1.75,3.04,0.64,3.76,4.41
535,"Bonaire, Sint Eustatius and Saba",,,,,,,10.23,0.51,7.42,2.05,12.96,2.81,7.71,15.57,7.64,10.54,10.74,7.62,2.3,11
76,Brazil,,,,,,2.27,2.06,1.65,2.39,2.31,1.92,1.37,2.37,2.18,3.04,2.17,1.67,2.69,2.57,2.37
92,British Virgin Islands,,,,,,7.79,0.53,0.99,6.45,0.03,0.07,0.28,3.32,4.02,7.68,2.55,8.54,6.95,6.42,5.79
96,Brunei Darussalam,,,,,,3.3,1.92,2.54,2.62,4.27,1.92,3.45,2.37,2.74,4.06,2.36,5.18,2.98,2.69,5.91
100,Bulgaria,,,,,,8.13,1.63,7.63,9.3,16.56,2.98,7.71,6.27,15.02,7.05,9.3,10.88,7.71,8.76,10.82
132,Cabo Verde,,,,,,4.28,2.15,1.29,4.04,2.31,11.36,6.4,2.79,8,3.63,1.24,2.21,2.2,1.41,3.09
