"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"1","Afghanistan","AFG","AFG",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA
"2","Albania","ALB","ALB",NA,NA,NA,NA,NA,0.34,NA,NA,NA,NA,-0.16,NA,NA,NA,NA,-0.12,NA,NA,NA
"3","Algeria","DZA","DZA",NA,NA,NA,NA,NA,-0.55,NA,NA,NA,NA,4.54,NA,NA,NA,NA,0.39,NA,NA,NA
"4","Angola","AGO","AGO",NA,NA,NA,NA,NA,-0.21,NA,NA,NA,NA,-0.21,NA,NA,NA,NA,-0.21,NA,NA,NA
"5","Argentina","ARG","ARG",NA,NA,NA,NA,NA,-1.07,NA,NA,NA,NA,-1.08,NA,NA,NA,NA,-1.06,NA,NA,NA
"6","Armenia","ARM","ARM",NA,NA,NA,NA,NA,-0.06,NA,NA,NA,NA,-0.06,NA,NA,NA,NA,0.06,NA,NA,NA
"7","Australia","AUS","AUS",NA,NA,NA,NA,NA,-0.19,NA,NA,NA,NA,-0.7,NA,NA,NA,NA,0.25,NA,NA,NA
"8","Austria","AUT","AUT",NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,0.05,NA,NA,NA,NA,0.05,NA,NA,NA
"9","Azerbaijan","AZE","AZE",NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,2.82,NA,NA,NA,NA,2.47,NA,NA,NA
"10","Bangladesh","BGD","BGD",NA,NA,NA,NA,NA,-0.18,NA,NA,NA,NA,-0.18,NA,NA,NA,NA,-0.18,NA,NA,NA
"11","Belgium","BEL","BEL",NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,0.21,NA,NA,NA,NA,0.06,NA,NA,NA
"12","Belize","BLZ","BLZ",NA,NA,NA,NA,NA,-0.59,NA,NA,NA,NA,-0.36,NA,NA,NA,NA,-0.36,NA,NA,NA
