"","Country","Year","Value_sum","SDG"
"1287","Argentina",2008,20.307846,"14"
"1447","Argentina",2009,21.09231,"14"
"1607","Argentina",2010,20.81031,"14"
"1767","Argentina",2011,20.37831,"14"
"1927","Argentina",2012,20.7863764004032,"14"
"2087","Argentina",2013,21.600518,"14"
"2247","Argentina",2014,21.379915,"14"
"2407","Argentina",2015,21.447312,"14"
"2567","Argentina",2016,21.2758775766625,"14"
"2727","Argentina",2017,21.382264,"14"
"2887","Argentina",2018,21.586264,"14"
"3047","Argentina",2019,21.366264,"14"
"8","Aruba",2000,5.53689,"14"
"168","Aruba",2001,5.53689,"14"
"328","Aruba",2002,5.53689,"14"
"488","Aruba",2003,5.53689,"14"
"648","Aruba",2004,5.53689,"14"
"808","Aruba",2005,5.53689,"14"
"968","Aruba",2006,6.69689,"14"
"1128","Aruba",2007,5.06889,"14"
"1288","Aruba",2008,4.91489,"14"
"1448","Aruba",2009,4.95889,"14"
"1608","Aruba",2010,5.08689,"14"
"1768","Aruba",2011,4.98289,"14"
"1928","Aruba",2012,5.52889,"14"
"2088","Aruba",2013,6.56889,"14"
"2248","Aruba",2014,5.50089,"14"
"2408","Aruba",2015,5.75089,"14"
"2568","Aruba",2016,6.31289,"14"
"2728","Aruba",2017,5.56889,"14"
"2888","Aruba",2018,5.42289,"14"
"3048","Aruba",2019,5.65489,"14"
"9","Australia",2000,28.803414,"14"
"169","Australia",2001,28.840004,"14"
"329","Australia",2002,29.171872,"14"
"489","Australia",2003,29.233878,"14"
"649","Australia",2004,29.258732,"14"
"809","Australia",2005,29.35598,"14"
"969","Australia",2006,29.570166,"14"
"1129","Australia",2007,29.86932,"14"
"1289","Australia",2008,30.131454,"14"
"1449","Australia",2009,30.943676,"14"
"1609","Australia",2010,31.050994,"14"
"1769","Australia",2011,31.692748,"14"
"1929","Australia",2012,32.124654,"14"
"2089","Australia",2013,32.801506,"14"
"2249","Australia",2014,32.88119,"14"
"2409","Australia",2015,32.779106,"14"
"2569","Australia",2016,33.04421,"14"
"2729","Australia",2017,32.99021,"14"
"2889","Australia",2018,33.08839,"14"
"3049","Australia",2019,32.94839,"14"
"10","Bahamas",2000,33.600728,"14"
"170","Bahamas",2001,33.600728,"14"
"330","Bahamas",2002,34.103796,"14"
"490","Bahamas",2003,34.103796,"14"
"650","Bahamas",2004,34.103796,"14"
"810","Bahamas",2005,34.103796,"14"
"970","Bahamas",2006,34.109796,"14"
"1130","Bahamas",2007,34.105796,"14"
"1290","Bahamas",2008,34.133796,"14"
"1450","Bahamas",2009,34.123482,"14"
"1610","Bahamas",2010,34.134526,"14"
"1770","Bahamas",2011,34.128526,"14"
"1930","Bahamas",2012,34.1731423940796,"14"
"2090","Bahamas",2013,34.186404,"14"
"2250","Bahamas",2014,34.1431236059204,"14"
"2410","Bahamas",2015,37.920856,"14"
"2570","Bahamas",2016,37.958856,"14"
"2730","Bahamas",2017,38.116856,"14"
"2890","Bahamas",2018,38.212856,"14"
"3050","Bahamas",2019,38.026856,"14"
"11","Bahrain",2000,0.441352,"14"
"171","Bahrain",2001,0.441352,"14"
"331","Bahrain",2002,0.441352,"14"
"491","Bahrain",2003,0.441352,"14"
"651","Bahrain",2004,0.441352,"14"
"811","Bahrain",2005,0.441352,"14"
"971","Bahrain",2006,0.623311023880986,"14"
"1131","Bahrain",2007,0.729964031841316,"14"
"1291","Bahrain",2008,0.761311023880986,"14"
"1451","Bahrain",2009,0.717352,"14"
"1611","Bahrain",2010,0.441352,"14"
"1771","Bahrain",2011,0.164490706635516,"14"
"1931","Bahrain",2012,2.4519116488162,"14"
"2091","Bahrain",2013,2.0689674537148,"14"
"2251","Bahrain",2014,2.97470181362176,"14"
"2411","Bahrain",2015,1.54079577718351,"14"
"2571","Bahrain",2016,0.576204813428186,"14"
"2731","Bahrain",2017,0.784364,"14"
"2891","Bahrain",2018,0.532364,"14"
"3051","Bahrain",2019,0.716364,"14"
"12","Bangladesh",2000,31.078948,"14"
"172","Bangladesh",2001,31.197756,"14"
"332","Bangladesh",2002,31.197756,"14"
"492","Bangladesh",2003,31.197756,"14"
"652","Bangladesh",2004,31.197756,"14"
"812","Bangladesh",2005,31.197756,"14"
"972","Bangladesh",2006,31.713756,"14"
"1132","Bangladesh",2007,31.183756,"14"
"1292","Bangladesh",2008,31.293756,"14"
"1452","Bangladesh",2009,31.073756,"14"
"1612","Bangladesh",2010,31.571756,"14"
"1772","Bangladesh",2011,30.97224,"14"
"1932","Bangladesh",2012,30.2854186286067,"14"
"2092","Bangladesh",2013,31.475008,"14"
"2252","Bangladesh",2014,31.04467,"14"
"2412","Bangladesh",2015,30.676332,"14"
"2572","Bangladesh",2016,30.8827047061282,"14"
"2732","Bangladesh",2017,30.688714,"14"
"2892","Bangladesh",2018,30.920714,"14"
"3052","Bangladesh",2019,30.838714,"14"
