"","Country","countrycode","CountryCode","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018"
"65","Norway","NOR","NOR",33.16413279,33.1526331,33.1411334,33.12963638,33.11813668,33.10663698,33.11211277,33.11758856,33.12306436,33.12854015,33.13401594,33.13949173,33.14496752,33.16142708,33.16690469,33.1723823,33.1778599,NA,NA
"66","Pakistan","PAK","PAK",2.744914902,2.689393876,2.633873008,2.578351982,2.522831114,2.467310087,2.41152968,2.355749274,2.299968867,2.24418846,2.188408053,2.132627646,2.07684724,2.021066833,1.965286426,1.909506019,1.853725612,NA,NA
"67","Paraguay","PRY","PRY",48.74905613,48.29952276,47.84998938,47.40045109,46.95091772,46.50138434,45.73370249,44.96602064,44.19833879,43.43065693,42.66297508,41.84394566,41.02491869,40.20588926,39.3868623,38.56783287,37.74880345,NA,NA
"68","Peru","PER","PER",59.48984375,59.39312744,59.29640503,59.19968872,59.10296631,59.00625,58.89421997,58.78218994,58.67015381,58.55812378,58.44609375,58.31515503,58.18421631,58.05328369,57.92234497,57.79140625,57.66046753,NA,NA
"69","Poland","POL","POL",29.5765451,29.66861535,29.76068559,29.85762673,29.94091276,30.03297098,30.11817643,30.20240144,30.28860722,30.37482106,30.45905707,30.53325995,30.60348896,30.67371937,30.74496164,30.81420033,30.88343903,NA,NA
"70","Portugal","PRT","PRT",36.53551913,36.43278795,36.33005411,36.22732294,36.1245891,36.03367224,35.90904228,35.78440966,35.6597797,35.48858939,35.36412272,35.23965605,35.11518671,34.98491584,34.86031479,34.73586931,34.61142383,NA,NA
"71","Romania","ROU","ROU",27.7132036,27.73497018,27.7374168,27.74951076,27.76521739,27.78937299,27.8972076,28.01600808,28.1226616,28.21090235,28.31993045,28.60581394,28.92531042,29.22488414,29.51929679,29.82006259,30.12082839,NA,NA
"72","Rwanda","RWA","RWA",13.94406161,14.27644962,14.6088364,14.94122441,15.27361118,15.60599919,16.10052745,16.59505447,17.08958274,17.58410976,18.07863802,18.35427595,18.62991512,18.90555306,19.18119223,19.45683016,19.73246809,NA,NA
"73","Sao Tome and Principe","STP","STP",58.33333333,58.33333333,58.33333333,58.33333333,58.33333333,58.33333333,57.83333381,57.33333429,56.83333476,56.33333524,55.83333174,55.83333174,55.83333174,55.83333174,55.83333174,55.83333174,55.83333174,NA,NA
"74","Serbia","SRB","SRB",28.31008461,28.31008461,28.31008461,28.31008461,28.31008461,28.31008461,28.85204553,29.39400925,29.93597017,30.47793389,31.01989481,31.03590101,31.05191,31.0679162,31.0839252,31.0999314,31.1159376,NA,NA
"75","Sierra Leone","SLE","SLE",40.48212801,40.2105833,39.93904196,39.66749725,39.39595591,39.12441119,38.85286648,38.58132514,38.30978043,38.03823909,37.76669438,38.64782624,39.52895471,40.41008657,41.29121505,42.17234691,43.05347877,NA,NA
"76","Somalia","SOM","SOM",11.97915006,11.85672872,11.7343066,11.61188526,11.48946314,11.3670418,11.24462045,11.12219833,10.99977699,10.87735487,10.75493353,10.63251219,10.51009007,10.38766872,10.2652466,10.14282526,10.02040392,NA,NA
"77","South Africa","ZAF","ZAF",7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,7.617736524,NA,NA
"78","South Sudan","SSD","SSD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Spain","ESP","ESP",34.02192275,34.17710564,34.26378647,34.3743701,34.49869896,34.62720119,35.02166294,35.39927242,35.80826014,36.20538982,36.49366856,36.5714373,36.61556287,36.68379203,36.75204461,36.8607287,36.93620953,NA,NA
"80","Sri Lanka","LKA","LKA",34.9545527,34.71854491,34.48253711,34.24653321,34.01052542,33.77451762,33.72667836,33.6788391,33.63099984,33.58316058,33.53532132,33.43007339,33.32482935,33.21958143,33.11433739,33.00908946,32.90384153,NA,NA
"81","Suriname","SUR","SUR",98.66025641,98.63461538,98.60897436,98.58333333,98.55769231,98.53205128,98.50641026,98.48076923,98.45512821,98.42948718,98.40384615,98.37948843,98.35513071,98.33076673,98.306409,98.28205128,98.25769356,NA,NA
"82","Sweden","SWE","SWE",68.63332846,68.6601355,68.68694254,68.71374957,68.74055661,68.76736365,68.69669055,68.62601745,68.55534435,68.48467125,68.41399815,68.41399815,68.91785732,68.91785732,68.92293339,68.92293339,68.92293339,NA,NA
"83","Switzerland","CHE","CHE",30.20949371,30.32664425,30.44380259,30.56096807,30.67813827,30.79609254,30.88797203,30.97985426,31.07095907,31.16206079,31.2531625,31.34932732,31.44548904,31.54165385,31.63781558,31.73398039,31.8301452,NA,NA
"84","Tajikistan","TJK","TJK",2.929408402,2.929408402,2.929408402,2.929408402,2.929408402,2.929408402,2.929408402,2.929408402,2.929408402,2.929408402,2.929408402,2.932266318,2.935124234,2.937982368,2.965717131,2.968513582,2.97139559,NA,NA
"85","Thailand","THA","THA",33.29679579,32.94016477,32.58352994,32.22689892,31.870266,31.51363307,31.57196227,31.63029147,31.68862258,31.74695178,31.80528098,31.86400204,31.92272309,31.98144415,32.0401652,32.09888626,32.15760731,NA,NA
"86","Tunisia","TUN","TUN",5.387487127,5.487898916,5.588311098,5.688722887,5.78913507,5.889546859,5.986096807,6.082646756,6.179196704,6.275746653,6.372296601,6.437950645,6.503604689,6.569258339,6.634912776,6.700566426,6.766220077,NA,NA
"87","Turkey","TUR","TUR",13.23103309,13.35550824,13.47998338,13.60445979,13.72893494,13.85341008,13.99399737,14.13458466,14.27517068,14.41575797,14.55634526,14.68939671,14.8224469,14.95549835,15.08854854,15.22159999,15.35465144,NA,NA
"88","Turkmenistan","TKM","TKM",8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,NA,NA
"89","Uganda","UGA","UGA",19.36339523,18.92297683,18.48255843,18.04214003,17.60172164,17.16130324,16.48466067,15.80801811,15.13137432,14.45473175,13.72930381,13.0550571,12.38081038,11.70656245,11.03231573,10.35806902,9.683822306,NA,NA
"90","Ukraine","UKR","UKR",16.41494779,16.43738673,16.46010978,16.48254911,16.50498844,16.52628672,16.51753592,16.50907116,16.50003419,16.49071392,16.48139198,16.51902196,16.55665195,16.59428363,16.63277494,16.67040688,16.70803881,NA,NA
"91","Zambia","ZMB","ZMB",68.78489084,68.56078026,68.33667494,68.11256436,67.88845904,67.66434846,67.44023788,67.21613256,66.99202198,66.76791666,66.54380608,66.3196955,66.09559018,65.8714796,65.64737428,65.4232637,65.19915312,NA,NA
"92","Zimbabwe","ZWE","ZWE",48.84063591,47.99534703,47.15005816,46.30476929,45.45948042,44.61419155,43.76890268,42.9236138,42.07832493,41.23303606,40.38774719,39.58019803,38.7726514,37.96510225,37.15755562,36.35000646,35.54245731,NA,NA
