Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,0.04239,0.04239,0.04239,0.04239,0.04239,0.04239,0.04239,0.04239,0.04239,6.14129,6.14129,6.14129,6.14129,6.14129,6.14129,6.14129,6.14129,6.14129,6.14129
Albania,,26.41338,26.41338,26.41339,28.12444,33.68052,44.42248,46.96139,51.93638,57.16259,57.16259,68.10794,68.10794,68.10794,76.08799,76.10988,76.10988,76.10988,76.10988,76.10988
Algeria,,23.57792,31.3496,31.3496,33.77379,39.67099,39.67099,39.67099,39.67099,39.67099,39.67099,39.67099,40.18098,40.18098,40.18098,40.18098,40.18098,40.18098,40.18098,40.18098
American Samoa,,61.4813,61.4813,61.4813,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499,61.49499
Andorra,,14.67156,14.67156,14.67156,17.89569,17.89569,17.89569,17.89569,17.89569,17.89569,17.89569,17.89569,17.89569,17.89569,26.08191,26.08191,26.08191,26.08191,26.08191,26.08191
Angola,,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736,28.36736
Anguilla,,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988,0.14988
Antigua and Barbuda,,0.84593,0.84593,0.84593,0.84593,0.84593,14.86689,14.86689,14.86689,14.86689,14.86689,14.86689,14.86689,14.86689,14.86689,14.86689,14.86689,14.86689,14.86689,14.86689
Argentina,,23.29553,24.06225,24.83055,26.03037,27.15961,27.96379,28.099,28.099,28.48588,30.21363,30.22275,30.23606,30.54156,30.54678,31.03482,31.52652,31.85164,31.88267,32.40464
Armenia,,12.53671,12.53671,15.01628,15.01628,15.01628,15.01628,15.01628,15.05002,15.05002,21.54746,21.54746,21.54746,21.54746,21.54746,21.54746,21.54746,21.54746,21.54746,21.54746
Aruba,,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928,31.89928
Australia,,31.84505,32.55658,34.11462,34.88527,35.51045,35.90326,37.54972,38.46969,39.51642,42.61992,43.67877,45.89999,47.14905,48.7801,51.36442,51.861,52.67042,52.67042,52.67094
